feature,mean_importance
SSO:000031406,-0.006331551112234592
SSO:000006811,-0.004830759469419718
SSO:000042756,-0.002016642555594446
SSO:000029894,-0.0018581776954233644
SSO:000018191,-0.0014673350304365159
SSO:000025538,-0.0013245916366577126
SSO:000043905,-0.001213603919371961
SSO:000037190,-0.0011027506124228217
SSO:000003240,-0.0010055952258408065
SSO:000013192,-0.0009807207435369504
SSO:000000587,-0.0009231702610850323
SSO:000002972,-0.0008332086279988285
SSO:000000920,-0.0007799089848995217
SSO:000021717,-0.0007066125273704523
SSO:000012978,-0.00069429036229849
SSO:000002128,-0.0006833230964839454
SSO:000018792,-0.0006607499998062844
SSO:000001777,-0.000634493321180342
SSO:000007864,-0.0006263094842433925
SSO:000018657,-0.0006048439219593999
SSO:000033511,-0.000583181697875261
SSO:000010243,-0.0005304085910320278
SSO:000000844,-0.0005016499757766718
SSO:000017928,-0.00048424182459712165
SSO:000013635,-0.0004556653201580052
SSO:000006816,-0.00041147676017135314
SSO:000021634,-0.00040250712819397266
SSO:000016921,-0.0003946913182735448
SSO:000024292,-0.0003463000953197487
SSO:000025571,-0.0003232640624046323
SSO:000025595,-0.000313114643096922
SSO:000005468,-0.00030714860837906396
SSO:000005958,-0.0002994222715497014
SSO:000013194,-0.0002971015721559514
SSO:000008068,-0.0002556473165750514
SSO:000002288,-0.00021434913948178148
SSO:000001768,-0.00020919602457434016
SSO:000036507,-0.00019818843528628393
SSO:000004460,-0.00019638404063880427
SSO:000018941,-0.0001946741733700047
SSO:000022668,-0.00019375409185886372
SSO:000000685,-0.0001837508976459498
SSO:000036433,-0.0001608392111957069
SSO:000000075,-0.00015468109771609313
SSO:000044159,-0.0001540488302707671
SSO:000016732,-0.0001480883359909077
SSO:000017326,-0.00014361813664436063
SSO:000000442,-0.00013435346074402443
SSO:000012337,-0.00013352378830313731
SSO:000004677,-0.00013026078045368095
SSO:000008385,-0.00012803546618670169
SSO:000010176,-0.0001262201890349382
SSO:000000982,-0.00012269865907728745
SSO:000020858,-0.00012188762426376398
SSO:000017756,-0.0001172244176268572
SSO:000019412,-0.0001169243752956392
SSO:000033425,-0.00011607575789094049
SSO:000016969,-0.00011432858556509051
SSO:000003484,-0.00010613552480936151
SSO:000025113,-0.00010443171113729555
SSO:000029444,-9.935881942510494e-05
SSO:000024063,-9.421924501657325e-05
SSO:000006212,-8.931609615683566e-05
SSO:000013601,-8.426679670810733e-05
SSO:000003169,-8.336299657821789e-05
SSO:000000049,-7.749957405030761e-05
SSO:000002475,-7.137269712984562e-05
SSO:000009306,-7.098743692040693e-05
SSO:000012992,-7.090358249843137e-05
SSO:000038540,-7.082075066864452e-05
SSO:000031082,-6.14245571196062e-05
SSO:000012878,-6.127891317009998e-05
SSO:000009590,-5.9160068631174124e-05
SSO:000044189,-5.523502174764744e-05
SSO:000010090,-5.359241738915471e-05
SSO:000017578,-5.309296771883881e-05
SSO:000021897,-5.3002685308459196e-05
SSO:000006879,-5.02993427217005e-05
SSO:000024592,-4.907368123531208e-05
SSO:000016903,-4.221910424530573e-05
SSO:000018283,-4.001016169786487e-05
SSO:000024332,-3.975174762308464e-05
SSO:000033632,-3.921258822083551e-05
SSO:000005953,-3.7582110613584854e-05
SSO:000011840,-3.751437272876412e-05
SSO:000009310,-3.2602857798337546e-05
SSO:000017510,-3.143010102212573e-05
SSO:000000387,-3.120471350848558e-05
SSO:000005331,-2.7883350849154664e-05
SSO:000033404,-2.748645097017388e-05
SSO:000017587,-2.6448458433149523e-05
SSO:000022956,-2.4334399029612986e-05
SSO:000005342,-2.4315051734448424e-05
SSO:000018628,-2.239447832107361e-05
SSO:000039438,-2.060666680336054e-05
SSO:000018727,-1.8306355923411455e-05
SSO:000003020,-1.7193154431879854e-05
SSO:000010839,-1.672153547406241e-05
SSO:000001604,-1.530578732490545e-05
SSO:000021054,-1.3919040560721186e-05
SSO:000011941,-1.3670903630555453e-05
SSO:000002472,-1.3332160189748199e-05
SSO:000002961,-1.329375989735232e-05
SSO:000044283,-1.3285428285596257e-05
SSO:000042219,-1.3111114501954124e-05
SSO:000000917,-1.236600801348825e-05
SSO:000007633,-1.2309489771723803e-05
SSO:000026338,-1.2148671783507314e-05
SSO:000021557,-1.1680770665406515e-05
SSO:000021298,-9.839713573456254e-06
SSO:000000393,-8.828263729811214e-06
SSO:000012328,-8.804593235253733e-06
SSO:000009507,-8.734878152608095e-06
SSO:000033800,-7.800522260366372e-06
SSO:000018447,-6.7300684750082326e-06
SSO:000019056,-6.526011973617684e-06
SSO:000001851,-6.04455545544641e-06
SSO:000017754,-5.969405174253983e-06
SSO:000021315,-5.651551298797852e-06
SSO:000024791,-5.349030718206083e-06
SSO:000001550,-4.384262487293344e-06
SSO:000025721,-4.1687563061720835e-06
SSO:000017055,-3.95113602280478e-06
SSO:000016834,-3.7064701318714755e-06
SSO:000043378,-3.4751333296292875e-06
SSO:000007735,-3.303418867289798e-06
SSO:000025504,-3.22389602661205e-06
SSO:000000864,-3.1954459846023076e-06
SSO:000017451,-3.154849633572876e-06
SSO:000009089,-2.3371167480926157e-06
SSO:000033351,-2.2833766415708556e-06
SSO:000010609,-2.00007855892248e-06
SSO:000020581,-1.3614576309939341e-06
SSO:000004878,-9.319633245477577e-07
SSO:000021294,-4.441915079950176e-07
SSO:000025220,-1.1352449655610552e-07
SSO:000002791,0.0
SSO:000001053,0.0
SSO:000016870,0.0
SSO:000002241,0.0
SSO:000002200,0.0
SSO:000025727,0.0
SSO:000005211,0.0
SSO:000042179,0.0
SSO:000004170,0.0
SSO:000006815,0.0
SSO:000002629,0.0
SSO:000010318,0.0
SSO:000025455,0.0
SSO:000021611,0.0
SSO:000009451,0.0
SSO:000024378,0.0
SSO:000025776,0.0
SSO:000004933,0.0
SSO:000021663,0.0
SSO:000016877,0.0
SSO:000005945,0.0
SSO:000029374,0.0
SSO:000031273,0.0
SSO:000009722,0.0
SSO:000010713,0.0
SSO:000019662,0.0
SSO:000036086,0.0
SSO:000025050,0.0
SSO:000035923,0.0
SSO:000024911,0.0
SSO:000000799,0.0
SSO:000001633,0.0
SSO:000029461,0.0
SSO:000000684,0.0
SSO:000002819,0.0
SSO:000005936,0.0
SSO:000008082,0.0
SSO:000033402,0.0
SSO:000043918,0.0
SSO:000023517,0.0
SSO:000002627,0.0
SSO:000025091,0.0
SSO:000042887,0.0
SSO:000039483,0.0
SSO:000017367,0.0
SSO:000042933,0.0
SSO:000018619,0.0
SSO:000018213,0.0
SSO:000021334,0.0
SSO:000036799,0.0
SSO:000028925,0.0
SSO:000018925,0.0
SSO:000025774,0.0
SSO:000031204,0.0
SSO:000029062,0.0
SSO:000001489,0.0
SSO:000033640,0.0
SSO:000009606,0.0
SSO:000002915,0.0
SSO:000032530,0.0
SSO:000010392,0.0
SSO:000029303,0.0
SSO:000002674,0.0
SSO:000009052,0.0
SSO:000007177,0.0
SSO:000020318,0.0
SSO:000004880,0.0
SSO:000004177,0.0
SSO:000002027,0.0
