feature,mean_importance
SSO:000044350,-0.0034984315490188766
SSO:000018613,-0.0022110036280190313
SSO:000025628,-0.002153826005190157
SSO:000000315,-0.001858242045378089
SSO:000017481,-0.0018088818917564476
SSO:000030144,-0.0016774519719430724
SSO:000043162,-0.0016753322928577286
SSO:000021274,-0.0016257810886931012
SSO:000005727,-0.0015813431702722037
SSO:000002472,-0.0015391602798683456
SSO:000002076,-0.0015358062251248639
SSO:000000811,-0.001461675237295773
SSO:000002108,-0.0014380706407221278
SSO:000017805,-0.0014281040366087682
SSO:000021037,-0.0013992198030709391
SSO:000007178,-0.001380720742895325
SSO:000000075,-0.0013712981939685066
SSO:000002814,-0.0013600861829034749
SSO:000010553,-0.001356636836266445
SSO:000002246,-0.001315957024607084
SSO:000010609,-0.0013158596515059407
SSO:000002796,-0.0012659562211654763
SSO:000002818,-0.0012631333036986713
SSO:000002619,-0.0012543428918716294
SSO:000007570,-0.001242751674377096
SSO:000035042,-0.001236421043856495
SSO:000010855,-0.0012317851624046084
SSO:000000457,-0.0012121476934596643
SSO:000042577,-0.0012068606351950117
SSO:000019052,-0.0011939162252466162
SSO:000000568,-0.0011711403100529982
SSO:000043609,-0.001153502794276068
SSO:000001465,-0.0011516590116410763
SSO:000022980,-0.001140626669579725
SSO:000025206,-0.0011196647058718755
SSO:000038542,-0.0011082359424909372
SSO:000029803,-0.0010871968466323934
SSO:000008135,-0.0010591320220721956
SSO:000010242,-0.0010551527528641802
SSO:000006033,-0.00104554168043558
SSO:000011940,-0.0010203398549308517
SSO:000044077,-0.0010051225610097248
SSO:000029265,-0.0010007917130218148
SSO:000012972,-0.0009904155977194518
SSO:000007776,-0.000983764397167669
SSO:000012521,-0.000977453616805457
SSO:000007179,-0.0009672175167926234
SSO:000028897,-0.0009578803528503821
SSO:000029128,-0.0009560837623040219
SSO:000017055,-0.0009547199777681758
SSO:000021467,-0.0009543977772227819
SSO:000010054,-0.0009490714968145908
SSO:000043822,-0.0009446114611315115
SSO:000031624,-0.0009050900171696186
SSO:000010610,-0.0008474082080414447
SSO:000038656,-0.0008114791811105471
SSO:000003160,-0.0007915626526834973
SSO:000029964,-0.0007859739757866025
SSO:000043620,-0.0007695450660914315
SSO:000013242,-0.0007678565512135527
SSO:000012182,-0.0007641589442551833
SSO:000002813,-0.0007629906989379765
SSO:000029459,-0.0007558173965921567
SSO:000004630,-0.0007555417497445149
SSO:000005159,-0.0007514012089808453
SSO:000030003,-0.0007505710832935774
SSO:000009632,-0.0007502475449150725
SSO:000005314,-0.0007466304677531621
SSO:000002819,-0.0007433755233185013
SSO:000002788,-0.0007366672889065229
SSO:000037530,-0.0007365590749691009
SSO:000022788,-0.0007341410662817683
SSO:000000330,-0.000729125853077689
SSO:000024083,-0.000726052231844726
SSO:000019509,-0.0007259208790706296
SSO:000012739,-0.0007172027681107806
SSO:000003240,-0.0007019112695021646
SSO:000002812,-0.0007003239690430152
SSO:000000206,-0.0006783522002398346
SSO:000020985,-0.0006772279262963144
SSO:000020158,-0.0006707387384955576
SSO:000016742,-0.0006656065401813516
SSO:000002805,-0.0006651466461681799
SSO:000039072,-0.0006632616106174438
SSO:000006902,-0.0006626997849352612
SSO:000007212,-0.000654885761664481
SSO:000024332,-0.0006479131986580844
SSO:000013601,-0.0006471706070576011
SSO:000020878,-0.0006264506411418791
SSO:000003124,-0.0006231036847982374
SSO:000018283,-0.0006149509511988449
