iter	Passed	Remaining
0	116	115966
1	247	123564
2	386	128301
3	543	135299
4	683	136062
5	814	134917
6	966	137040
7	1101	136611
8	1242	136859
9	2037	201731
10	2505	225227
11	2684	221054
12	2828	214762
13	2968	209094
14	3108	204119
15	3247	199713
16	3387	195849
17	3525	192309
18	3660	188997
19	3797	186072
20	3933	183387
21	4069	180922
22	4206	178681
23	4353	177029
24	4491	175162
25	4633	173569
26	4772	171968
27	4905	170293
28	5039	168726
29	5204	168284
30	5347	167159
31	5482	165838
32	5620	164689
33	5762	163728
34	5913	163043
35	6059	162247
36	6203	161462
37	6337	160441
38	6472	159476
39	6601	158434
40	6736	157562
41	6869	156694
42	7005	155913
43	7156	155485
44	7293	154779
45	7426	154028
46	7562	153336
47	7696	152639
48	7829	151947
49	7958	151219
50	8089	150535
51	8222	149909
52	8349	149191
53	8486	148672
54	8622	148147
55	8755	147600
56	8885	147003
57	9022	146540
58	9167	146210
59	9308	145828
60	9448	145451
61	9588	145062
62	9717	144526
63	9848	144040
64	9979	143551
65	10116	143163
66	10252	142767
67	10385	142340
68	10521	141965
69	10655	141570
70	10790	141189
71	10927	140845
72	11065	140512
73	11197	140117
74	11333	139773
75	11465	139399
76	11596	139006
77	11727	138625
78	11862	138295
79	11994	137931
80	12129	137613
81	12268	137344
82	12407	137080
83	12544	136792
84	12683	136539
85	12821	136261
86	12954	135942
87	13086	135622
88	13228	135406
89	13391	135404
90	13539	135247
91	13693	135149
92	13872	135296
93	14042	135344
94	14203	135303
95	14369	135314
96	14526	135233
97	14668	135012
98	14819	134868
99	14958	134629
100	15095	134366
101	15231	134100
102	15373	133880
103	15520	133711
104	15665	133533
105	15808	133326
106	15955	133159
107	16095	132940
108	16238	132738
109	16378	132520
110	16519	132302
111	16659	132087
112	16806	131923
113	16955	131775
114	17088	131510
115	17234	131337
116	17381	131181
117	18119	135433
118	18415	136339
119	18580	136256
120	18726	136034
121	18875	135840
122	19023	135636
123	19178	135487
124	19327	135295
125	19476	135101
126	19628	134925
127	19777	134733
128	19917	134484
129	20061	134255
130	20832	138193
131	21180	139280
132	21477	140005
133	21634	139816
134	21835	139912
135	22037	140002
136	22192	139799
137	22339	139542
138	22486	139287
139	22631	139022
140	22774	138744
141	22916	138466
142	23065	138232
143	23212	137986
144	23354	137712
145	23508	137508
146	23656	137271
147	23799	137008
148	23939	136728
149	24084	136481
150	24264	136427
151	24409	136181
152	24551	135914
153	24717	135784
154	24896	135728
155	25077	135673
156	25237	135508
157	25381	135262
158	25529	135035
159	25680	134820
160	25832	134620
161	25973	134358
162	26121	134134
163	26265	133888
164	26407	133639
165	26553	133408
166	26698	133174
167	26849	132968
168	26990	132718
169	27134	132481
170	27279	132251
171	27424	132019
172	27567	131780
173	27712	131552
174	27856	131324
175	28002	131101
176	28144	130866
177	28290	130645
178	28429	130392
179	28575	130176
180	28718	129945
181	28862	129720
182	29008	129508
183	29157	129305
184	29306	129105
185	29458	128921
186	29608	128725
187	29752	128506
188	29897	128289
189	30042	128077
190	30191	127878
191	30338	127676
192	30488	127482
193	30637	127288
194	30780	127066
195	30948	126950
196	31110	126809
197	31263	126632
198	31409	126426
199	31555	126220
200	31694	125991
201	31831	125749
202	31977	125547
203	32121	125335
204	32264	125123
205	32406	124906
206	32551	124700
207	32687	124464
208	32823	124227
209	32961	123999
210	33096	123760
211	33238	123548
212	33383	123347
213	33533	123165
214	33672	122943
215	33806	122705
216	33944	122481
217	34088	122280
218	34226	122057
219	34368	121852
220	34574	121871
221	34784	121900
222	34932	121716
223	35080	121530
224	35229	121346
225	35387	121194
226	35593	121206
227	35748	121043
228	35902	120875
229	36052	120697
230	36207	120533
231	36353	120343
232	36493	120132
233	36664	120022
234	36806	119816
235	36959	119647
236	37469	120630
237	37883	121289
238	38041	121128
239	38210	121000
240	38366	120831
241	38555	120765
242	38714	120604
243	38865	120418
244	39021	120250
245	39164	120041
246	39306	119828
247	39454	119634
248	39600	119437
249	39740	119220
250	39878	119001
251	40018	118783
252	40157	118566
253	40785	119786
254	41218	120423
255	41470	120523
256	41618	120322
257	41767	120121
258	41908	119900
259	42049	119679
260	42190	119459
261	42343	119272
262	42486	119058
263	42627	118840
264	42766	118616
265	42918	118429
266	43081	118271
267	43230	118078
268	43380	117884
269	43539	117717
270	43684	117512
271	43830	117311
272	43978	117113
273	44123	116910
274	44260	116687
275	44403	116479
276	44548	116276
277	44691	116069
278	44832	115857
279	44969	115636
280	45113	115432
281	45258	115231
282	45395	115013
283	45547	114830
284	45691	114628
285	45825	114402
286	45962	114185
287	46101	113972
288	46239	113759
289	46400	113601
290	46542	113398
291	46688	113204
292	46828	112995
293	46968	112789
294	47109	112584
295	47267	112420
296	47408	112216
297	47550	112015
298	47700	111832
299	47851	111653
300	47991	111449
301	48134	111250
302	48276	111051
303	48419	110855
304	48564	110662
305	48703	110458
306	48845	110260
307	48992	110074
308	49147	109905
309	49292	109715
310	49448	109550
311	49588	109348
312	49740	109175
313	49884	108983
314	50024	108783
315	50164	108583
316	50309	108394
317	50447	108193
318	50588	107995
319	50728	107798
320	50872	107609
321	51016	107420
322	51158	107227
323	51304	107043
324	51449	106857
325	51595	106672
326	51734	106474
327	51872	106274
328	52013	106083
329	52145	105870
330	52281	105669
331	52418	105469
332	52558	105274
333	52705	105095
334	52842	104896
335	52979	104698
336	53120	104506
337	53262	104317
338	53397	104116
339	53534	103919
340	53678	103736
341	53814	103538
342	53953	103344
343	54096	103159
344	54237	102972
345	54378	102784
346	54512	102584
347	54649	102389
348	54784	102190
349	54921	101997
350	55066	101818
351	55213	101643
352	55363	101472
353	55510	101298
354	55651	101113
355	55793	100930
356	55935	100746
357	56081	100570
358	56223	100387
359	56365	100205
360	56504	100017
361	56642	99828
362	56786	99649
363	56926	99465
364	57073	99292
365	57215	99111
366	57360	98935
367	57507	98763
368	57648	98580
369	57786	98393
370	57926	98209
371	58073	98038
372	58211	97850
373	58363	97689
374	58504	97507
375	58653	97340
376	58799	97167
377	58947	96998
378	59103	96842
379	59247	96667
380	59393	96495
381	59544	96331
382	59685	96151
383	59824	95968
384	59970	95797
385	60108	95613
386	60261	95453
387	60411	95288
388	60565	95130
389	60706	94950
390	60841	94763
391	60981	94583
392	61125	94410
393	61267	94233
394	61408	94056
395	61565	93902
396	61710	93731
397	61849	93550
398	61987	93370
399	62127	93190
400	62269	93016
401	62408	92835
402	62547	92656
403	62691	92484
404	62833	92311
405	62972	92131
406	63118	91964
407	63265	91797
408	63408	91624
409	63549	91449
410	63688	91271
411	63837	91107
412	63984	90942
413	64130	90773
414	64273	90602
415	64410	90422
416	64551	90248
417	64693	90075
418	64832	89899
419	64970	89721
420	65105	89539
421	65244	89363
422	65385	89189
423	65529	89020
424	65670	88848
425	65809	88673
426	65940	88486
427	66078	88310
428	66219	88137
429	66360	87966
430	66497	87789
431	66638	87617
432	66782	87450
433	66924	87279
434	67072	87117
435	67218	86952
436	67369	86793
437	67514	86627
438	67663	86467
439	67811	86305
440	67958	86142
441	68107	85981
442	68251	85814
443	68392	85644
444	68530	85471
445	68672	85301
446	68818	85137
447	68964	84973
448	69113	84813
449	69263	84655
450	69413	84496
451	69561	84335
452	69705	84169
453	69850	84005
454	69995	83841
455	70140	83676
456	70284	83511
457	70434	83352
458	70574	83182
459	70715	83013
460	70859	82848
461	71002	82682
462	71139	82509
463	71282	82343
464	71424	82176
465	71560	82002
466	71695	81828
467	71836	81659
468	71984	81500
469	72139	81348
470	72296	81199
471	72467	81064
472	72618	80908
473	72756	80738
474	72892	80565
475	73036	80401
476	73181	80238
477	73653	80433
478	74112	80610
479	74344	80539
480	74489	80374
481	74667	80243
482	74809	80075
483	74951	79906
484	75092	79737
485	75232	79566
486	75383	79407
487	75522	79236
488	75676	79080
489	75822	78917
490	75975	78760
491	76133	78609
492	76290	78457
493	76436	78292
494	76573	78120
495	76714	77951
496	77592	78529
497	77884	78509
498	78049	78362
499	78193	78193
500	78343	78030
501	78496	77871
502	78643	77705
503	78800	77550
504	78964	77400
505	79115	77239
506	79283	77094
507	79427	76925
508	79568	76754
509	79714	76588
510	79862	76423
511	80007	76256
512	80151	76089
513	80296	75922
514	80439	75753
515	80577	75580
516	80722	75413
517	80866	75245
518	81005	75074
519	81142	74900
520	81283	74730
521	81423	74560
522	81561	74387
523	81700	74216
524	81845	74050
525	81988	73883
526	82130	73715
