GenomeID	gram_stain
GCF_012427845	0
GCF_014652935	0
GCF_000420025	1
GCF_900112295	0
GCF_001612845	1
GCF_011046975	1
GCF_000739735	0
GCF_004357995	1
GCF_900129155	0
GCF_003129605	0
GCF_900156655	0
GCF_000218235	0
GCF_900112505	0
GCF_014207435	1
GCF_014641455	0
GCF_002954245	1
GCF_000300515	0
GCF_900100955	1
GCF_001439635	1
GCF_001831495	0
GCF_001708305	1
GCF_000238395	0
GCF_000421165	0
GCF_001267175	0
GCF_003389455	1
GCF_012396585	1
GCF_001051995	0
GCF_014196345	0
GCF_014645175	0
GCF_001570565	1
GCF_014645355	0
GCF_000330725	0
GCF_900113265	0
GCF_004102745	1
GCF_001613445	1
GCF_900114235	1
GCF_900110695	1
GCF_003633775	0
GCF_003054025	0
GCF_007845635	0
GCF_016865235	0
GCF_017114865	1
GCF_009909205	0
GCF_013408435	1
GCF_003096035	0
GCF_000512205	0
GCF_900095135	0
GCF_002282855	0
GCF_004341915	0
GCF_000147675	1
GCF_007991755	1
GCF_000820085	0
GCF_003096355	0
GCF_013408415	1
GCF_900148835	0
GCF_014201555	0
GCF_014636995	0
GCF_900107665	0
GCF_900188335	0
GCF_014197435	1
GCF_900102745	1
GCF_001277235	0
GCF_003967535	1
GCF_001908025	1
GCF_014138885	1
GCF_003716875	0
GCF_002307495	0
GCF_900100345	0
GCF_000621125	0
GCF_014652235	0
GCF_008711145	0
GCF_001403635	1
GCF_000513155	1
GCF_011927625	0
GCF_000426505	0
GCF_003076135	1
GCF_001548275	0
GCF_000442275	0
GCF_001043175	0
GCF_008801475	0
GCF_900188045	0
GCF_017161325	0
GCF_001687565	1
GCF_000248075	1
GCF_000296405	1
GCF_003865095	1
GCF_008040105	1
GCF_900111785	0
GCF_001641615	0
GCF_016863315	1
GCF_004341385	0
GCF_001971645	0
GCF_900168045	0
GCF_007990775	1
GCF_900115665	0
GCF_004802515	1
GCF_006148955	0
GCF_900107725	0
GCF_017873965	0
GCF_900167915	0
GCF_017873095	0
GCF_900101815	0
GCF_014230055	0
GCF_001431465	0
GCF_016908275	1
GCF_000378345	0
GCF_004329815	0
GCF_012843165	1
GCF_000521865	0
GCF_900112585	0
GCF_000420505	1
GCF_003946505	1
GCF_001613065	1
GCF_900129905	0
GCF_001730315	1
GCF_014636475	1
GCF_000975035	1
GCF_900110065	0
GCF_000819705	0
GCF_006443685	0
GCF_003336425	1
GCF_014652315	0
GCF_003634995	1
GCF_004348265	0
GCF_003352165	0
GCF_900156425	0
GCF_000190435	0
GCF_000711885	0
GCF_003605635	0
GCF_000379425	1
GCF_000425785	0
GCF_000382125	0
GCF_006159205	0
GCF_001441615	0
GCF_008274805	0
GCF_014646875	0
GCF_000021925	0
GCF_000421745	1
GCF_000425425	0
GCF_003946695	1
GCF_007558725	0
GCF_002285435	0
GCF_900188245	0
GCF_014118685	1
GCF_001584615	1
GCF_003843875	1
GCF_002835805	1
GCF_008923365	1
GCF_013407765	1
GCF_007828155	1
GCF_900119185	0
GCF_016908415	1
GCF_000768555	0
GCF_006717075	1
GCF_002014855	0
GCF_003012935	0
GCF_006546775	0
GCF_000430625	0
GCF_003991565	0
GCF_003710935	0
GCF_000372445	1
GCF_005049105	0
GCF_003149515	0
GCF_000430805	0
GCF_004362865	0
GCF_001021025	1
GCF_001591805	1
GCF_003313545	0
GCF_009299485	1
GCF_000383875	0
GCF_017873565	1
GCF_003583935	0
GCF_008728085	1
GCF_001941825	0
GCF_900100725	0
GCF_002210225	0
GCF_900108165	0
GCF_009733795	1
GCF_000429005	0
GCF_004801295	0
GCF_900107965	1
GCF_017873235	1
GCF_003797835	1
GCF_000337175	1
GCF_004339015	0
GCF_900101585	1
GCF_014652875	0
GCF_900099765	1
GCF_013328205	0
GCF_002893625	0
GCF_014652475	0
GCF_001641285	0
GCF_900129325	0
GCF_003202285	1
GCF_014639315	1
GCF_900156635	0
GCF_001592045	1
GCF_000422965	0
GCF_000620125	1
GCF_000403135	0
GCF_004341205	1
GCF_003628505	1
GCF_000421145	1
GCF_014636275	1
GCF_001816145	0
GCF_900078665	1
GCF_003991875	1
GCF_001956985	0
GCF_002245355	1
GCF_900113515	1
GCF_900101995	0
GCF_002142155	0
GCF_001889605	0
GCF_014635885	0
GCF_001431415	0
GCF_014196115	0
GCF_000219915	0
GCF_003987395	0
GCF_003285015	0
GCF_016908875	1
GCF_000469325	1
GCF_900112335	0
GCF_000243215	0
GCF_001436555	1
GCF_008806345	0
GCF_004307995	1
GCF_900070325	1
GCF_000819725	0
GCF_004310685	1
GCF_003345255	0
GCF_000423325	0
GCF_007992115	1
GCF_013186535	1
GCF_000591055	0
GCF_001053095	0
GCF_900129045	1
GCF_900110925	0
GCF_003129485	0
GCF_002078505	0
GCF_001887595	0
GCF_017873605	0
GCF_011759705	1
GCF_003951975	1
GCF_000382825	1
GCF_002724055	1
GCF_000377005	1
GCF_010722915	1
GCF_000429105	1
GCF_000349325	1
GCF_000296695	0
GCF_900129345	0
GCF_000428745	0
GCF_014499005	1
GCF_000014785	0
GCF_004363235	0
GCF_900115785	0
GCF_016446285	0
GCF_000241265	1
GCF_900142145	1
GCF_004322705	0
GCF_003610395	1
GCF_002093665	0
GCF_006335005	1
GCF_009811315	0
GCF_902499045	0
GCF_001038425	1
GCF_003363485	0
GCF_005860805	0
GCF_006542375	0
GCF_002803515	0
GCF_003966955	1
GCF_004217615	1
GCF_004362525	0
GCF_011046555	0
GCF_900496965	0
GCF_007997285	0
GCF_003236315	1
GCF_000312445	0
GCF_001879695	0
GCF_001623565	1
GCF_014199335	0
GCF_014191305	1
GCF_900188415	0
GCF_003367905	0
GCF_001518015	0
GCF_900105165	0
GCF_000832545	0
GCF_003710965	1
GCF_001273755	1
GCF_014641655	0
GCF_900207575	0
GCF_000350145	1
GCF_001570585	1
GCF_017254835	0
GCF_002786295	0
GCF_001613325	1
GCF_001639105	0
GCF_014230085	0
GCF_000018025	0
GCF_003664185	0
GCF_000657795	0
GCF_001012825	1
GCF_001575225	1
GCF_900129115	0
GCF_000737785	0
GCF_003965815	0
GCF_016653315	0
GCF_001418005	0
GCF_003047285	1
GCF_014647155	0
GCF_000156435	1
GCF_016858125	0
GCF_014645075	0
GCF_000442255	0
GCF_000425125	0
GCF_000275725	0
GCF_900108245	0
GCF_002499975	0
GCF_003056355	0
GCF_003008515	0
GCF_002270415	0
GCF_000348785	1
GCF_900129175	0
GCF_001434455	1
GCF_001277215	0
GCF_008728635	0
GCF_001305575	0
GCF_014635145	1
GCF_004103825	0
GCF_900312995	0
GCF_014639655	1
GCF_014190805	1
GCF_900110455	0
GCF_014642635	0
GCF_000219725	0
GCF_004216535	1
GCF_001886615	0
GCF_003987135	0
GCF_017874735	0
GCF_000372745	1
GCF_000226875	0
GCF_003628145	0
GCF_000715205	1
GCF_009910675	0
GCF_002796795	0
GCF_000166395	0
GCF_001584405	1
GCF_003287395	0
GCF_003987405	0
GCF_007992195	0
GCF_014243445	0
GCF_004352845	0
GCF_900116605	0
GCF_000374845	1
GCF_900142225	1
GCF_000429045	0
GCF_000526715	0
GCF_004001085	1
GCF_013388295	0
GCF_002946835	1
GCF_002993885	0
GCF_003837865	0
GCF_009711465	0
GCF_001401755	0
GCF_014397255	1
GCF_000519325	1
GCF_014197035	0
GCF_900113695	0
GCF_002812485	0
GCF_004346685	0
GCF_007992215	0
GCF_008245045	0
GCF_003605365	0
GCF_900149295	0
GCF_009856625	0
GCF_004341235	0
GCF_011189575	0
