feature	importance
SSO:000017037__Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)	0.7052443695120687
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.5522417080668015
SSO:000002255__Deoxyribose-phosphate aldolase (EC 4.1.2.4)	0.32993630199973206
SSO:000005188__NAD-dependent malic enzyme (EC 1.1.1.38)	0.28156238207889756
SSO:000010300__Adenine deaminase (EC 3.5.4.2)	0.2714927250988376
SSO:000005171__NAD(P)H-hydrate epimerase (EC 5.1.99.6)	0.2660459623503621
SSO:000001968__Cytosine permease	0.25076688861361945
SSO:000033834__xylulokinase	0.23246142558428642
SSO:000000864__Aldehyde dehydrogenase (EC 1.2.1.3)	0.1727345233375241
SSO:000010245__Acyl-CoA dehydrogenase	0.1513736515359185
SSO:000020765__Oligopeptide ABC transporter substrate-binding protein	0.1426511969586861
SSO:000009045__bacteriocin immunity protein	0.13949526090838427
SSO:000010553__Amidohydrolase	0.13661824533888414
SSO:000016827__Flavocytochrome c	0.13254463481393358
SSO:000000355__4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	0.12132474414204299
SSO:000024007__Replication protein	0.11991350993940797
SSO:000010855__Asparaginase	0.1179098042131718
SSO:000002619__Exodeoxyribonuclease III (EC 3.1.11.2)	0.11373360706309454
SSO:000042957__acetyl-CoA carboxylase (EC 6.4.1.2)	0.11369437435631469
SSO:000018454__Inositol monophosphatase	0.10985319442660886
