feature	importance
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.5220421930373813
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.4052680567402239
SSO:000001823__Cyanophycinase (EC 3.4.15.6)	0.39185301288600727
SSO:000024083__Restriction endonuclease	0.24964163312113893
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.2032490339052734
SSO:000004706__Mandelate racemase (EC 5.1.2.2)	0.19270665028627432
SSO:000033834__xylulokinase	0.16544000682885218
SSO:000010483__Alpha-amylase family protein	0.1582210771447607
SSO:000009126__glutamine amidotransferase (EC 4.1.3.27 )	0.14234731417274005
SSO:000005432__Nucleotidyltransferase (EC 2.7.7.-)	0.13432266650946864
SSO:000011951__Carboxylate-amine ligase	0.1254641160083229
SSO:000000811__Adenosine deaminase (EC 3.5.4.4)	0.11978524926015861
SSO:000020878__Outer membrane lipoprotein carrier protein LolA	0.10990871006347849
SSO:000012533__Cyclase family protein	0.10535282402484096
SSO:000033631__transglutaminase domain-containing protein	0.10263570645262983
SSO:000022788__Protein kinase	0.10116287686048131
SSO:000024925__Sodium-dependent transporter	0.10023683664552119
SSO:000025239__Sugar isomerase	0.09251896210166699
SSO:000016969__GGDEF domain containing protein	0.09119667698513743
SSO:000000886__Alkaline phosphatase (EC 3.1.3.1)	0.09022933674630845
