feature	importance
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.2586497349460534
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.24043410318958736
SSO:000033834__xylulokinase	0.19821411948939038
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.18725702443719391
SSO:000005968__Phosphogluconate dehydratase (EC 4.2.1.12)	0.18253494101053325
SSO:000003097__Glucokinase (EC 2.7.1.2)	0.1816421314655106
SSO:000000142__2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21)	0.15798423455078606
SSO:000007828__Sulfoacetaldehyde acetyltransferase (EC 2.3.3.15)	0.13941212405095318
SSO:000030003__glucose-6-phosphate dehydrogenase	0.1389105501929335
SSO:000025246__Sugar phosphate isomerase/epimerase	0.13652766760791912
SSO:000000457__6-phosphogluconolactonase (EC 3.1.1.31)	0.13609367905509331
SSO:000005278__Na+/H+ antiporter	0.1349292766392619
SSO:000033404__sulfite oxidase( EC:1.8.3.1 )	0.1345018586368152
SSO:000034571__Aldose 1-epimerase family protein	0.12763973146592847
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.11599721570390208
SSO:000018763__L-iditol 2-dehydrogenase	0.11192665655948209
SSO:000042937__maltose alpha-D-glucosyltransferase (EC 5.4.99.16)	0.10176643437144943
SSO:000005853__Peroxidase (EC 1.11.1.7)	0.0988095762978488
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.09506363435518317
SSO:000019412__Membrane dipeptidase	0.09441841433143083
