feature	importance
SSO:000030003__glucose-6-phosphate dehydrogenase	0.5264207807487163
SSO:000000864__Aldehyde dehydrogenase (EC 1.2.1.3)	0.39572249658137104
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.3674496029744014
SSO:000009045__bacteriocin immunity protein	0.19925764146672287
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.17358603866951272
SSO:000029128__YeeE/YedE family protein	0.1706464692863292
SSO:000034571__Aldose 1-epimerase family protein	0.16512765533393328
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.15808796376339482
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.13774374993036764
SSO:000029073__Xylose isomerase	0.13312422633872695
SSO:000009809__ABC transporter	0.121534831421005
SSO:000021641__Phosphoenolpyruvate-protein phosphotransferase	0.1105408529051135
SSO:000023917__Recombinase	0.10693143261913986
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.10412946254079977
SSO:000017481__GtrA family protein	0.09450220350870094
SSO:000003478__Homocysteine S-methyltransferase (EC 2.1.1.10)	0.0911685390312136
SSO:000005727__Pantoate--beta-alanine ligase (EC 6.3.2.1)	0.08729480495964188
SSO:000008287__Transketolase (EC 2.2.1.1)	0.08448645542326833
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.08356151649375129
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.08311673175525437
