feature	importance
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.43408820504314055
SSO:000007208__S-ribosylhomocysteine lyase (EC 4.4.1.21)	0.40140214025800935
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.2667090905720984
SSO:000004155__L-lactate dehydrogenase (EC 1.1.1.27)	0.22115878758194377
SSO:000003114__Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.2141874181794137
SSO:000004043__Isochorismate synthase (EC 5.4.4.2)	0.19300152548855717
SSO:000037084__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit C	0.14757019463929938
SSO:000018566__Intradiol ring-cleavage dioxygenase	0.14061450113970173
SSO:000029603__cobalamin B12-binding domain-containing protein	0.12973387690987515
SSO:000043018__acetolactate decarboxylase (EC 4.1.1.5)	0.12741064550097492
SSO:000002246__Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	0.12012584558402474
SSO:000001995__D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	0.11930883299472217
SSO:000010371__Glutathione-dependent formaldehyde dehydrogenase	0.11569194494879866
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.1106677399264515
SSO:000029953__formate/nitrite transporter family protein	0.10824705612720999
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.10737645043720069
SSO:000010617__Aminotransferase	0.10680190719229854
SSO:000021599__Phosphatase	0.0995581444717059
SSO:000001095__Aspartate carbamoyltransferase (EC 2.1.3.2)	0.09646086996168995
SSO:000012359__Collagen-like protein	0.09641516625031327
