feature	importance
SSO:000033834__xylulokinase	1.4665855172171085
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	0.45068419435789225
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.43970662727749427
SSO:000018763__L-iditol 2-dehydrogenase	0.20252896125946296
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.20021473423917435
SSO:000033773__type IV secretion system protein	0.1951678973733217
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.18312860426818886
SSO:000018613__Iron-containing alcohol dehydrogenase	0.152990100949517
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.1420528731563894
SSO:000029964__fumarate hydratase( EC:4.2.1.2 )	0.12966825810010696
SSO:000012964__DUF1232 domain-containing protein	0.12730198853617572
SSO:000002108__DNA repair protein RadC	0.1222001424440342
SSO:000029506__carbohydrate kinase	0.12110208220302535
SSO:000008105__TonB-dependent siderophore receptor	0.12087931789411405
SSO:000000464__8-amino-7-oxononanoate synthase (EC 2.3.1.47)	0.11650445137613667
SSO:000025231__Sugar binding protein	0.11073167618307322
SSO:000020771__Oligopeptide transporter OPT family	0.10981614490285033
SSO:000001427__Carboxynorspermidine decarboxylase (EC 4.1.1.96)	0.10665815068598676
SSO:000000870__Aldose 1-epimerase (EC 5.1.3.3)	0.10235778208159726
SSO:000017750__Heparinase II/III family protein	0.09805797514547371
