feature	importance
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	3.0968049605089254
SSO:000010559__Amidohydrolase family protein	0.19900815566249422
SSO:000012966__DUF1275 domain-containing protein	0.12934052638315482
SSO:000019235__MOSC domain containing protein	0.10528067456845817
SSO:000010090__ATPase	0.10273909908044442
SSO:000033847__zinc-binding dehydrogenase	0.09690468452913392
SSO:000002060__DNA (cytosine-5-)-methyltransferase (EC 2.1.1.37 )	0.09507544360196366
SSO:000018763__L-iditol 2-dehydrogenase	0.09463268450618323
SSO:000021529__Phage portal protein	0.08678323162714296
SSO:000004554__Low-specificity L-threonine aldolase (EC 4.1.2.48)	0.0824129836034546
SSO:000010295__Acyltransferase family protein	0.07965698184746346
SSO:000005188__NAD-dependent malic enzyme (EC 1.1.1.38)	0.0748381717287644
SSO:000011127__Bifunctional DNA primase/polymerase	0.07114025577938503
SSO:000000272__3-carboxy-ciscis-muconate cycloisomerase (EC 5.5.1.2)	0.07037442991608521
SSO:000010855__Asparaginase	0.06797929243744351
SSO:000001855__Cystathionine gamma-synthase (EC 2.5.1.48)	0.06724663615233821
SSO:000000440__67-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	0.06546923302052424
SSO:000025785__Transcriptional antiterminator	0.065356477978228
SSO:000018889__LemA family protein	0.06411696147310081
SSO:000029525__cation diffusion facilitator family transporter	0.06211106870582038
