feature	importance
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	1.9635008790652346
SSO:000004554__Low-specificity L-threonine aldolase (EC 4.1.2.48)	0.3529225800690037
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.30441194803676275
SSO:000026218__Trypsin-like serine protease	0.2725048994344145
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.23564094406964772
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.19184960935875656
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.18463429665982306
SSO:000005188__NAD-dependent malic enzyme (EC 1.1.1.38)	0.177089712453829
SSO:000002977__GMP reductase (EC 1.7.1.7)	0.15097135656713828
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.14369081905092124
SSO:000025723__Toxin	0.14196974642575094
SSO:000000936__Altronate dehydratase (EC 4.2.1.7)	0.12458561115945103
SSO:000016969__GGDEF domain containing protein	0.11263567207576956
SSO:000001777__Copper-translocating P-type ATPase (EC 3.6.3.4)	0.10969509955471325
SSO:000004475__Lipopolysaccharide N-acetylmannosaminouronosyltransferase (EC 2.4.1.180)	0.10635297969733246
SSO:000031442__phosphotriesterase	0.09682758704768744
SSO:000029759__coproporphyrinogen III oxidase	0.08931379825514717
SSO:000002138__DNA-binding protein HU-alpha	0.08918154852361253
SSO:000004890__Methylmalonyl-CoA epimerase (EC 5.1.99.1)	0.08742473462133195
SSO:000029506__carbohydrate kinase	0.08590029098519684
