feature	importance
SSO:000013154__Dipeptidase	0.7882256330482238
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.3944998239747775
SSO:000000811__Adenosine deaminase (EC 3.5.4.4)	0.35837382799739975
SSO:000017750__Heparinase II/III family protein	0.2974722398530305
SSO:000030106__heme-binding protein	0.23756891390589682
SSO:000005992__Phosphomannomutase (EC 5.4.2.8)	0.22827672257907952
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.22723806700194998
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.2019872900612036
SSO:000003007__Galactonate dehydratase (EC 4.2.1.6)	0.1804650213257335
SSO:000029995__gluconate transporter	0.16545938877089875
SSO:000003523__Hydroxyethylthiazole kinase (EC 2.7.1.50)	0.16408921203264357
SSO:000033834__xylulokinase	0.16310993491744188
SSO:000007633__Spheroidene monooxygenase (EC 1.14.15.9)	0.15707755737502632
SSO:000007416__Septum formation protein Maf	0.15648533125300068
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.15515485055851122
SSO:000016590__FMN-binding negative transcriptional regulator	0.14827096617411806
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.14685922236895707
SSO:000003484__Homoserine O-succinyltransferase (EC 2.3.1.46)	0.13743204812937296
SSO:000010749__Aquaporin	0.13542284141168986
SSO:000036062__Gluconate 2-dehydrogenase subunit 3 family protein	0.13470506820989342
