feature	importance
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.8174115767267015
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.59622461849972
SSO:000034830__D-ribose pyranase (EC 5.4.99.62)	0.4799548092610805
SSO:000010058__ATP-dependent helicase HrpB	0.4533483484866284
SSO:000012966__DUF1275 domain-containing protein	0.33814703088282644
SSO:000036507__L-glutamate gamma-semialdehyde dehydrogenase (EC 1.2.1.88)	0.28869768859310513
SSO:000042567__mercury(II) reductase (EC 1.16.1.1)	0.27479191084182913
SSO:000003114__Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.2651413788662477
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.2208233735882724
SSO:000000449__6-phospho-3-hexuloisomerase (EC 5.3.1.27)	0.20191267427362014
SSO:000010295__Acyltransferase family protein	0.1938410536885045
SSO:000000870__Aldose 1-epimerase (EC 5.1.3.3)	0.1629248820584008
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.15140611812485683
SSO:000006811__Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	0.1456848863672355
SSO:000025520__TerC family protein	0.14257433387763682
SSO:000021890__Polysaccharide biosynthesis protein	0.1400386692274151
SSO:000020822__Organic hydroperoxide resistance protein	0.13033436568254755
SSO:000010239__Acyl dehydratase	0.127168457307523
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.12578114167951795
SSO:000002765__Ferrous iron transport protein A	0.12173735653515345
