feature	importance
SSO:000025471__Tagatose-bisphosphate aldolase (EC 4.1.2.40)	0.6773965908807702
SSO:000043641__N4-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26)	0.4863147589342313
SSO:000018613__Iron-containing alcohol dehydrogenase	0.35447289804641774
SSO:000000450__6-phospho-beta-galactosidase (EC 3.2.1.85)	0.2896426790253424
SSO:000020342__NADH:flavin oxidoreductase/NADH oxidase	0.24802736883088872
SSO:000044077__Magnesium transporter	0.236251751267322
SSO:000000176__2-keto-4-pentenoate hydratase (EC 4.2.1.80)	0.2235460911522993
SSO:000018921__Pullulanase (EC 3.2.1.41)	0.20931076105490592
SSO:000002972__GDP-mannose 46-dehydratase (EC 4.2.1.47)	0.19881048150272068
SSO:000006782__Putrescine carbamoyltransferase (EC 2.1.3.6)	0.18208687352860312
SSO:000001094__Aspartate ammonia-lyase (EC 4.3.1.1)	0.17788723066030346
SSO:000019153__Lysozyme	0.17039008493184046
SSO:000012973__DUF1850 domain-containing protein	0.15383240815728874
SSO:000010272__Acyl-CoA thioesterase	0.14867635333645382
SSO:000006855__Pyruvatephosphate dikinase (EC 2.7.9.1)	0.13837556253275127
SSO:000007416__Septum formation protein Maf	0.1382600086213592
SSO:000013618__FAD-binding protein	0.13730898817464737
SSO:000025277__Sulfotransferase	0.1278304638068753
SSO:000022945__Protein-L-isoaspartate(D-aspartate) O-methyltransferase( EC:2.1.1.77 )	0.11738413748563187
SSO:000013473__Esterase	0.11439609965331052
