feature	importance
SSO:000029073__Xylose isomerase	3.3622294851409937
SSO:000033834__xylulokinase	0.4609319329734219
SSO:000029337__alpha-xylosidase (EC 3.2.1.177)	0.26690987519149856
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.2063198518869754
SSO:000029597__class II aldolase/adducin family protein	0.12924890552762203
SSO:000030003__glucose-6-phosphate dehydrogenase	0.12285349947570798
SSO:000009310__sortase	0.11885500416593459
SSO:000019052__Low molecular weight phosphotyrosine protein phosphatase	0.1032179233449624
SSO:000039420__Tagaturonate reductase (EC 1.1.1.58)	0.0921225696649255
SSO:000013035__DedA family protein	0.0912123745278888
SSO:000005185__NAD-dependent dihydropyrimidine dehydrogenase subunit PreA (EC 1.3.1.1)	0.08916612548016585
SSO:000033632__transglutaminase family protein	0.07565159298756124
SSO:000025241__Sugar kinase	0.0655219210588353
SSO:000018191__IS110 family transposase	0.0653503270204461
SSO:000018641__Isochorismatase family protein	0.06009734175083912
SSO:000033163__sel1-like repeat protein	0.0563540199693457
SSO:000007097__Ribonuclease Z (EC 3.1.26.11)	0.05624244389307702
SSO:000033511__thiolase family protein	0.0550483830131451
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.054651906032381084
SSO:000005916__Phosphate acetyltransferase (EC 2.3.1.8)	0.05448818939126564
