feature	importance
SSO:000000142__2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21)	1.183832160186353
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.38146389894829386
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.33128293493912514
SSO:000009528__2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	0.19543981552129047
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.18774188024302677
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.1708766091443838
SSO:000033404__sulfite oxidase( EC:1.8.3.1 )	0.17053470857957004
SSO:000033667__transposase family protein	0.16526321691217363
SSO:000000417__5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	0.1635784776938982
SSO:000034571__Aldose 1-epimerase family protein	0.15659568581039718
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.14185345565975324
SSO:000009982__ANTAR domain-containing protein	0.1409402928361696
SSO:000010751__Arabinan endo-15-alpha-L-arabinosidase (EC 3.2.1.99)	0.12557929841717488
SSO:000026225__Tryptophan-rich sensory protein	0.12503887132709632
SSO:000023851__RNA-binding protein	0.119647727369838
SSO:000036484__L-arabinose ABC transporter ATP-binding protein AraG	0.11047341268919743
SSO:000021890__Polysaccharide biosynthesis protein	0.10981041342345677
SSO:000007156__Ribulokinase (EC 2.7.1.16)	0.10855755237891222
SSO:000021696__Phosphonate ABC transporter ATP-binding protein	0.1084543646494603
SSO:000033834__xylulokinase	0.1072778651110264
