feature	importance
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	3.402245833326693
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.5099410105157787
SSO:000029073__Xylose isomerase	0.20188121777228246
SSO:000020835__OsmC family protein	0.1570278613242039
SSO:000043061__asparagine---tRNA ligase (EC 6.1.1.22)	0.13891201733173658
SSO:000016921__Fumarylacetoacetate hydrolase family protein	0.11349421930438708
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.1003189363569518
SSO:000011397__Bmp family protein	0.09840389860510491
SSO:000003095__Glucarate dehydratase (EC 4.2.1.40)	0.09349607355468502
SSO:000033686__trehalose-phosphatase	0.08490507366484855
SSO:000006900__RNA polymerase sigma factor	0.0827179334380049
SSO:000008020__Thiazole tautomerase TenI (EC 5.3.99.10)	0.08210308455311612
SSO:000017027__GTPase	0.07982626909794244
SSO:000012628__Cytochrome c oxidase subunit I	0.07208539884873723
SSO:000004554__Low-specificity L-threonine aldolase (EC 4.1.2.48)	0.06830703906560423
SSO:000004128__L-aspartate oxidase (EC 1.4.3.16)	0.06470982736979347
SSO:000011951__Carboxylate-amine ligase	0.06420313086651905
SSO:000013541__Exopolysaccharide biosynthesis protein	0.0584279203887509
SSO:000037088__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit G	0.05804705969215505
SSO:000035439__DUF402 domain-containing protein	0.05651466092245543
