feature	importance
SSO:000029307__aldolase	0.7947251623566591
SSO:000001479__Cell division topological specificity factor MinE	0.683364755245482
SSO:000017481__GtrA family protein	0.46453839912119116
SSO:000016732__Fibronectin type III domain-containing protein	0.292859470586041
SSO:000005432__Nucleotidyltransferase (EC 2.7.7.-)	0.2784241141260847
SSO:000012812__DNA polymerase III subunit epsilon	0.23196579451803886
SSO:000019052__Low molecular weight phosphotyrosine protein phosphatase	0.16891407316193005
SSO:000010266__Acyl-CoA synthetase	0.15949876111616354
SSO:000010058__ATP-dependent helicase HrpB	0.14448499660708258
SSO:000017037__Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)	0.13346477214056116
SSO:000022956__Proteinase inhibitor I4 serpin	0.12170052312723005
SSO:000005468__O-methyltransferase (EC 2.1.1.-)	0.11888820778153823
SSO:000000315__3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	0.1177690749583117
SSO:000037082__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit A	0.11696930767950067
SSO:000007384__Selenocysteine-specific translation elongation factor	0.11637010678527131
SSO:000005954__Phosphoenolpyruvate carboxykinase GTP (EC 4.1.1.32)	0.1160526698916437
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	0.10346363332366984
SSO:000011135__Bile acid:sodium symporter	0.10048000265796517
SSO:000000381__4-hydroxyproline epimerase (EC 5.1.1.8)	0.09731422295363422
SSO:000029128__YeeE/YedE family protein	0.09481079772392144
