feature	importance
SSO:000003148__Glutamate decarboxylase (EC 4.1.1.15)	1.8099051387174896
SSO:000011068__Phenylacetate CoA-ligase (EC 6.2.1.30)	0.543744735123276
SSO:000012966__DUF1275 domain-containing protein	0.35326617321986375
SSO:000021269__Patatin family protein	0.31179228054006325
SSO:000002246__Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	0.30784441191341205
SSO:000021837__Polyamine ABC transporter ATP-binding protein	0.27501301107089254
SSO:000012739__DJ-1/PfpI family protein	0.2581845881175211
SSO:000026225__Tryptophan-rich sensory protein	0.21692245193231727
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.21002203328617228
SSO:000007416__Septum formation protein Maf	0.19169830736978136
SSO:000042344__threonine ammonia-lyase (EC 4.3.1.19)	0.1632492512007778
SSO:000005468__O-methyltransferase (EC 2.1.1.-)	0.15985003128227218
SSO:000042254__pyruvate synthase (EC 1.2.7.1)	0.14476986302726008
SSO:000018905__Leucine-rich repeat protein	0.14062119803476023
SSO:000038542__Phosphomethylpyrimidine synthase ThiC (EC 4.1.99.17)	0.1335607372429069
SSO:000031065__methionine synthase	0.13008506100091535
SSO:000009749__Adenosine kinase (EC 2.7.1.20)	0.12111554127954902
SSO:000017273__Glutaminase A	0.11424410425034778
SSO:000021054__PASTA domain containing protein	0.10806268081738471
SSO:000000735__Aconitate hydratase (EC 4.2.1.3)	0.10666633029106218
