feature	importance
SSO:000018777__L-rhamnose isomerase	1.4262763354472008
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	1.3850023168992824
SSO:000024110__Rhamnulokinase (EC 2.7.1.5)	0.5624911571527762
SSO:000002988__GTP pyrophosphokinase (EC 2.7.6.5)	0.25366031057934296
SSO:000000387__4-oxalomesaconate tautomerase (EC 5.3.2.8)	0.23156026858857034
SSO:000043940__dihydrolipoyllysine-residue acetyltransferase (EC 2.3.1.12)	0.20788905532555724
SSO:000007801__Sulfatase (EC 3.1.6.-)	0.14602007281597237
SSO:000037094__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit M	0.12376118603663529
SSO:000006304__Prephenate dehydratase (EC 4.2.1.51)	0.11447198728532829
SSO:000003153__Glutamate racemase (EC 5.1.1.3)	0.11206484800651716
SSO:000042727__UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12)	0.10312785417577364
SSO:000025554__Tetratricopeptide repeat protein	0.0978959553841962
SSO:000010324__Adhesin	0.09252726834614562
SSO:000006855__Pyruvatephosphate dikinase (EC 2.7.9.1)	0.09189501229692139
SSO:000033632__transglutaminase family protein	0.088255135238309
SSO:000017946__Hydrolase	0.08687105565114606
SSO:000000847__Alanine dehydrogenase (EC 1.4.1.1)	0.081357682381148
SSO:000004699__Malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141)	0.07911982881565677
SSO:000018973__Lipopolysaccharide biosynthesis protein	0.0775991421456274
SSO:000002359__Diphthine--ammonia ligase (EC 6.3.1.14)	0.068093081217638
