feature	importance
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	1.982558347942438
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.22451963462082414
SSO:000018792__L-threonine 3-dehydrogenase	0.18380918020930764
SSO:000012169__Chitinase (EC 3.2.1.14)	0.14635724085686497
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.14579723545762976
SSO:000001024__Aquaporin Z	0.13681006003803298
SSO:000010198__Acid phosphatase (EC 3.1.3.2)	0.13655944612771917
SSO:000007808__Sulfate permease	0.13560521984678386
SSO:000043641__N4-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26)	0.12232031184134619
SSO:000044308__adenosylmethionine---8-amino-7-oxononanoate transaminase (EC 2.6.1.62)	0.11063306220788667
SSO:000037089__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit H	0.10856082197230747
SSO:000012972__DUF1801 domain-containing protein	0.10660717114946074
SSO:000033404__sulfite oxidase( EC:1.8.3.1 )	0.10600282315792209
SSO:000030852__integrase family protein	0.09464358300893189
SSO:000000381__4-hydroxyproline epimerase (EC 5.1.1.8)	0.09355111455547303
SSO:000029073__Xylose isomerase	0.09193307032860466
SSO:000043034__inositol 2-dehydrogenase (EC 1.1.1.18)	0.08808568615728225
SSO:000017470__GreA/GreB family elongation factor	0.07995965639754012
SSO:000012974__DUF1854 domain-containing protein	0.07107843899166498
SSO:000000826__Adenylylsulfate kinase (EC 2.7.1.25)	0.07007689694672987
