feature	importance
SSO:000017206__Gluconate 5-dehydrogenase (EC 1.1.1.69)	2.768680870417422
SSO:000012210__Chorismate mutase	0.4215392795907585
SSO:000011942__Carbon-nitrogen hydrolase family protein	0.31340271324566804
SSO:000029073__Xylose isomerase	0.25517133696104005
SSO:000013098__Dienelactone hydrolase family protein	0.1819744326597221
SSO:000000720__Acetylglutamate kinase (EC 2.7.2.8)	0.1788474522519926
SSO:000012746__DNA binding protein	0.1742578960593403
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.1723157710550844
SSO:000007623__Spermidine N1-acetyltransferase (EC 2.3.1.57)	0.16352113482772943
SSO:000009045__bacteriocin immunity protein	0.15459895384654804
SSO:000025747__Transcription antiterminator	0.1477401603564047
SSO:000029028__Xaa-Pro dipeptidyl-peptidase	0.1360379244697244
SSO:000017597__HTH domain-containing protein	0.12855985946716125
SSO:000016921__Fumarylacetoacetate hydrolase family protein	0.12362444095627496
SSO:000009809__ABC transporter	0.11287612974493157
SSO:000022348__Prenyltransferase	0.10965231735144497
SSO:000010857__Asparagine synthase (glutamine-hydrolyzing)	0.10949943448978972
SSO:000010264__Acyl-CoA reductase (EC 1.2.1.50)	0.10567255265997916
SSO:000033631__transglutaminase domain-containing protein	0.1027419199649526
SSO:000020217__N-acetyltransferase family protein	0.09438429440794785
