feature	importance
SSO:000025615__Thiolase	0.47133329095163506
SSO:000021642__Phosphoesterase	0.356535501623902
SSO:000008391__Tryptophan 23-dioxygenase (EC 1.13.11.11)	0.3114132329376957
SSO:000010472__Alpha-2-macroglobulin	0.266196949781535
SSO:000000028__12-phenylacetyl-CoA epoxidase subunit B (EC 1.14.13.149)	0.23921545496632673
SSO:000010419__Alkane-1 monooxygenase (EC 1.14.15.3)	0.22716082880821073
SSO:000029597__class II aldolase/adducin family protein	0.21561319932858194
SSO:000002043__D-serine ammonia-lyase (EC 4.3.1.18)	0.21459136130651973
SSO:000013622__FAD-dependent monooxygenase	0.17141966000649295
SSO:000030039__glycoside hydrolase family protein	0.16542851543683212
SSO:000029945__flavodoxin family protein	0.15794728584677228
SSO:000029073__Xylose isomerase	0.15555658274837372
SSO:000000298__3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	0.15471789681141346
SSO:000043427__L-serine ammonia-lyase (EC 4.3.1.17)	0.1335881758162894
SSO:000043848__aspartate dehydrogenase (EC 1.4.1.21)	0.13219609100215515
SSO:000033631__transglutaminase domain-containing protein	0.126098577517953
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.1220195019977126
SSO:000011856__Calcium binding protein	0.12151681839237531
SSO:000012992__DUF350 domain-containing protein	0.1171691913809783
SSO:000027090__beta-glucosidase (EC 3.2.1.21)	0.11559967175713148
