feature	importance
SSO:000010533__Amidase	0.5396676700868192
SSO:000034380__ABC-F type ribosomal protection protein 	0.47470008807244257
SSO:000000035__14-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	0.4725472882450585
SSO:000010266__Acyl-CoA synthetase	0.4674514828719574
SSO:000000925__Alpha-mannosidase (EC 3.2.1.24)	0.4007330101518577
SSO:000025538__Tetracycline resistance MFS efflux pump 	0.3432928293599118
SSO:000010090__ATPase	0.2983323218770652
SSO:000029769__cyclic nucleotide-binding domain-containing protein	0.28061547148112814
SSO:000033225__sigma-54-dependent transcriptional regulator	0.23676563631004843
SSO:000013593__Extracellular solute-binding protein	0.22867242513327424
SSO:000016827__Flavocytochrome c	0.21727108525842379
SSO:000001193__Beta-phosphoglucomutase (EC 5.4.2.6)	0.21345308558942294
SSO:000018641__Isochorismatase family protein	0.21169570177543012
SSO:000025721__Toxic anion resistance protein	0.19914588742933553
SSO:000021467__Peroxiredoxin	0.19636509689680468
SSO:000008848__Uracil permease	0.1918835908863119
SSO:000024271__S-layer protein	0.1655177267175938
SSO:000021338__Peptidase M23	0.16220159729857542
SSO:000010889__Autolysin (EC 3.5.1.28)	0.14309783038223842
SSO:000000219__2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	0.13868236968202965
