feature	importance
SSO:000004100__LL-diaminopimelate aminotransferase (EC 2.6.1.83)	1.2605561628040516
SSO:000008881__Urocanate hydratase (EC 4.2.1.49)	0.8730309771571986
SSO:000003696__Imidazolonepropionase (EC 3.5.2.7)	0.7720261930257543
SSO:000007111__Ribose 5-phosphate isomerase B (EC 5.3.1.6)	0.5586573583015422
SSO:000002027__D-glycero-beta-D-manno-heptose 7-phosphate kinase	0.4412138029257228
SSO:000004938__Molybdenum cofactor guanylyltransferase (EC 2.7.7.77)	0.42906954947687953
SSO:000017850__HlyD family secretion protein	0.41931488594330385
SSO:000006816__Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	0.3599489297312036
SSO:000010953__BCCT family transporter	0.2780247117006133
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.23639282868808634
SSO:000018210__IS5 family transposase	0.1850441951738448
SSO:000003439__Histidine ammonia-lyase (EC 4.3.1.3)	0.16055134836857377
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.15747050342467625
SSO:000023973__TonB family protein	0.14940577513791728
SSO:000004091__Kynureninase (EC 3.7.1.3)	0.14858027689256914
SSO:000042222__Arginyltransferase( EC:2.3.2.8 )	0.1464448511176619
SSO:000021760__Phytanoyl-CoA dioxygenase	0.1310594036489768
SSO:000011545__CHAP domain containing protein	0.11582994436030762
SSO:000020584__Nitroreductase family protein	0.1088268562110787
SSO:000010058__ATP-dependent helicase HrpB	0.09539146254750464
