feature	importance
SSO:000001046__Arginine deiminase (EC 3.5.3.6)	1.9568854637373156
SSO:000001398__Carbamate kinase (EC 2.7.2.2)	0.7791569184278662
SSO:000012216__Chromate transporter	0.1864765188710795
SSO:000017665__Heavy metal translocating P-type ATPase	0.18294543702262844
SSO:000030137__histone deacetylase	0.16449577383294314
SSO:000025595__Thioesterase	0.1264409702242406
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.12577599560051655
SSO:000000536__AMP nucleosidase (EC 3.2.2.4)	0.12470073539164353
SSO:000034830__D-ribose pyranase (EC 5.4.99.62)	0.11495195249387212
SSO:000025627__Thioredoxin domain-containing protein	0.0996654970726757
SSO:000018768__L-lactate permease	0.09908515580188526
SSO:000016742__Fic family protein	0.09467481328117217
SSO:000006147__Polyketide synthase	0.0936198713711654
SSO:000023973__TonB family protein	0.08836623810408273
SSO:000024633__Siderophore-interacting protein	0.08340015348639118
SSO:000017027__GTPase	0.08248545416788544
SSO:000000308__3-isopropylmalate dehydrogenase (EC 1.1.1.85)	0.07949378204372974
SSO:000018202__IS21 family transposase	0.0778058150345662
SSO:000007828__Sulfoacetaldehyde acetyltransferase (EC 2.3.3.15)	0.07448684143964664
SSO:000012169__Chitinase (EC 3.2.1.14)	0.07107276560148998
