feature	importance
SSO:000033511__thiolase family protein	0.49303869818307017
SSO:000044308__adenosylmethionine---8-amino-7-oxononanoate transaminase (EC 2.6.1.62)	0.3747324426374826
SSO:000018202__IS21 family transposase	0.3467213011731026
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.28588602886851605
SSO:000024791__Site-specific DNA-methyltransferase	0.2704979899524193
SSO:000008881__Urocanate hydratase (EC 4.2.1.49)	0.23203062604078964
SSO:000019936__MmgE/PrpD family protein	0.2075482447610778
SSO:000010198__Acid phosphatase (EC 3.1.3.2)	0.20753299568485625
SSO:000028963__Voltage-gated chloride channel family protein	0.20306155380972873
SSO:000025571__Thermonuclease family protein	0.17001704129745077
SSO:000017006__GPW/gp25 family protein	0.16806187147203028
SSO:000020822__Organic hydroperoxide resistance protein	0.16654288680740642
SSO:000029515__carboxylesterase family protein	0.16368773312656368
SSO:000024584__Serine/threonine protein kinase	0.1310981396858313
SSO:000006362__Proline dehydrogenase (EC 1.5.5.2)	0.12796923172318891
SSO:000003696__Imidazolonepropionase (EC 3.5.2.7)	0.12614372127263962
SSO:000021409__Peptidoglycan-binding protein	0.1237264492098835
SSO:000001076__Arylamine N-acetyltransferase (EC 2.3.1.5)	0.1082557342594734
SSO:000024558__Serine protease	0.10733990653538819
SSO:000001042__Arginase (EC 3.5.3.1)	0.10421641945870647
