feature	importance
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.41301018974332754
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.3221322157597711
SSO:000012746__DNA binding protein	0.2953719673070257
SSO:000009756__Membrane protein	0.28391505724706273
SSO:000019083__Lycopene cyclase	0.2830242606645475
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.2555705067382978
SSO:000007156__Ribulokinase (EC 2.7.1.16)	0.2465469681410637
SSO:000003525__Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	0.22899738199158332
SSO:000004449__Lipase (EC 3.1.1.3)	0.20744208928458602
SSO:000000824__Adenylosuccinate synthetase (EC 6.3.4.4)	0.17364506271778052
SSO:000018657__Isoprenylcysteine carboxyl methyltransferase family protein	0.17027337983447774
SSO:000000925__Alpha-mannosidase (EC 3.2.1.24)	0.1642372873260086
SSO:000002919__Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.15422342168822
SSO:000034571__Aldose 1-epimerase family protein	0.14559307078902856
SSO:000009095__dTDP-glucose 46-dehydratase (EC 4.2.1.46)	0.1394453453534669
SSO:000001856__Cysteine desulfurase (EC 2.8.1.7)	0.13179782697622514
SSO:000017756__HesA/MoeB/ThiF family protein	0.1166712598694276
SSO:000028910__VanZ family protein	0.11502174282959081
SSO:000035923__Flagellar export protein FliJ	0.10785878788683766
SSO:000004883__Methylisocitrate lyase (EC 4.1.3.30)	0.1067385275186164
