feature	importance
SSO:000000195__2-methylcitrate synthase (EC 2.3.3.5)	0.5470666443079557
SSO:000035962__Formate-dependent phosphoribosylglycinamide formyltransferase	0.3090298902429219
SSO:000010160__Acetyl-CoA hydrolase/transferase family protein	0.26616004368912194
SSO:000011135__Bile acid:sodium symporter	0.2438003201970718
SSO:000020656__Nucleoside diphosphate kinase regulator	0.2368917354961811
SSO:000012386__Coniferyl aldehyde dehydrogenase (EC 1.2.1.68)	0.22162103703390307
SSO:000009756__Membrane protein	0.19182762211699694
SSO:000024633__Siderophore-interacting protein	0.18575846472224292
SSO:000013151__Dioxygenase	0.1691901141518522
SSO:000013261__Dyp-type peroxidase	0.16511339463347038
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.15740026841749064
SSO:000001968__Cytosine permease	0.1571567266675777
SSO:000009443__uracil-xanthine permease	0.13511978500397362
SSO:000012465__Copper resistance protein B	0.12355386820063734
SSO:000002043__D-serine ammonia-lyase (EC 4.3.1.18)	0.11414827089635406
SSO:000001879__Cytochrome O ubiquinol oxidase subunit III (EC 1.10.3.-)	0.11275837067825478
SSO:000030895__iron-sulfur cluster assembly accessory protein	0.11206189774954364
SSO:000012963__DUF1176 domain-containing protein	0.10869468370242057
SSO:000008463__Two-component system response regulator OmpR	0.1073208818460894
SSO:000043392__chorismate lyase (EC 4.1.3.40)	0.10437381835672933
