feature	importance
SSO:000027090__beta-glucosidase (EC 3.2.1.21)	0.577457661636694
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.44003855140629083
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.2728475018903912
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.24759782798484337
SSO:000025241__Sugar kinase	0.23767782694055514
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.1662394127866552
SSO:000018768__L-lactate permease	0.1660508685692846
SSO:000008131__Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	0.13772015542031324
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.13075614135637464
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.12962579099113086
SSO:000016591__FMN-binding protein	0.1292343924059291
SSO:000009756__Membrane protein	0.1263687427704605
SSO:000010823__Arsenate reductase family protein	0.1124191699987665
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.09801413649040501
SSO:000005278__Na+/H+ antiporter	0.09477951921650561
SSO:000005916__Phosphate acetyltransferase (EC 2.3.1.8)	0.09369462213884618
SSO:000016939__GAF domain-containing protein	0.09227806258777736
SSO:000002027__D-glycero-beta-D-manno-heptose 7-phosphate kinase	0.08864085301605973
SSO:000002897__Formate--tetrahydrofolate ligase (EC 6.3.4.3)	0.0824483988018927
SSO:000000922__Alpha-glucuronidase (EC 3.2.1.139)	0.08143856194253327
