feature	importance
SSO:000008391__Tryptophan 23-dioxygenase (EC 1.13.11.11)	0.3379884480430378
SSO:000008877__Uridine kinase (EC 2.7.1.48)	0.24036195695455204
SSO:000003696__Imidazolonepropionase (EC 3.5.2.7)	0.23999299319819561
SSO:000018641__Isochorismatase family protein	0.18952728387102097
SSO:000024950__Sodium/solute symporter	0.18518129721803592
SSO:000008881__Urocanate hydratase (EC 4.2.1.49)	0.18433875565583802
SSO:000035962__Formate-dependent phosphoribosylglycinamide formyltransferase	0.17157699820642094
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.15117027900124214
SSO:000018206__IS3 family transposase	0.14278819622145014
SSO:000029508__carbohydrate-binding protein	0.13304420264134356
SSO:000000457__6-phosphogluconolactonase (EC 3.1.1.31)	0.1242937562808172
SSO:000003124__Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	0.12077470442582448
SSO:000012684__D-alanyl-D-alanine carboxypeptidase family protein	0.11787301449012037
SSO:000044159__glycine C-acetyltransferase (EC 2.3.1.29)	0.11301700196429357
SSO:000025068__Sporulation protein	0.11203285587472381
SSO:000004091__Kynureninase (EC 3.7.1.3)	0.11073409887725981
SSO:000024633__Siderophore-interacting protein	0.10383197452576738
SSO:000012169__Chitinase (EC 3.2.1.14)	0.09919995498884492
SSO:000020504__Nickel-dependent hydrogenase large subunit	0.09474999033444356
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.0935138211674705
