feature	importance
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.6921639449489273
SSO:000020611__Non-ribosomal peptide synthetase	0.5119625107200562
SSO:000029769__cyclic nucleotide-binding domain-containing protein	0.28437232083084124
SSO:000024194__Rieske (2Fe-2S) domain-containing protein	0.23399699966884882
SSO:000005240__NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	0.2328552091548621
SSO:000009528__2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	0.21639106345873715
SSO:000013254__DsrE family protein	0.20458437233518703
SSO:000013106__Diguanylate cyclase	0.18855584130479497
SSO:000025246__Sugar phosphate isomerase/epimerase	0.18269500379537296
SSO:000019560__Methionine biosynthesis protein MetW	0.18163884754679882
SSO:000026218__Trypsin-like serine protease	0.17684172638777795
SSO:000016742__Fic family protein	0.1708173743730039
SSO:000001873__Cytidine deaminase (EC 3.5.4.5)	0.1587299531017265
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.1555296740632056
SSO:000012290__CoA-binding protein	0.1515416257231984
SSO:000013265__EAL domain containing protein	0.1503270535371358
SSO:000000212__2-phosphosulfolactate phosphatase (EC 3.1.3.71 )	0.14012112841236873
SSO:000001198__Betaine aldehyde dehydrogenase (EC 1.2.1.8)	0.1362007494167984
SSO:000003257__Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	0.13085198863133232
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.12986233563354319
