feature	importance
SSO:000043905__4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96)	0.3799543105587642
SSO:000000701__Acetyl-CoA C-acyltransferase (EC 2.3.1.16)	0.3686515207242705
SSO:000026362__Type II secretion system protein	0.32019821644443847
SSO:000009961__ADP-ribosylglycohydrolase family protein	0.28227950380909045
SSO:000003525__Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	0.2591929247486283
SSO:000011529__CDP-alcohol phosphatidyltransferase family protein	0.25185246755118945
SSO:000010682__Anti-sigma factor	0.2404193817361676
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.22759146265085067
SSO:000017669__Helicase	0.20637596256731147
SSO:000025571__Thermonuclease family protein	0.20609124573181503
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.20088437342140222
SSO:000034830__D-ribose pyranase (EC 5.4.99.62)	0.18521026972060786
SSO:000009590__3'-5' exonuclease	0.1826264033522657
SSO:000033963__Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12)	0.18070899459495227
SSO:000012589__Cytochrome P-450	0.16532713164785914
SSO:000001193__Beta-phosphoglucomutase (EC 5.4.2.6)	0.16528065227488004
SSO:000006048__Phosphoribulokinase (EC 2.7.1.19)	0.15368889276529693
SSO:000018447__Inorganic phosphate transporter	0.14595094501235667
SSO:000017470__GreA/GreB family elongation factor	0.13715283266218367
SSO:000007612__Sodium/glutamate symporter	0.1362869945228766
