feature	importance
SSO:000002919__Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.4658931528383868
SSO:000010953__BCCT family transporter	0.45486303295802966
SSO:000000035__14-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	0.25118286373088045
SSO:000000886__Alkaline phosphatase (EC 3.1.3.1)	0.2168664257218155
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.1952562557670939
SSO:000007094__Ribonuclease PH (EC 2.7.7.56)	0.19321308834746972
SSO:000002985__GTP cyclohydrolase II (EC 3.5.4.25)	0.14370129785344457
SSO:000009299__rhodanese-related sulfurtransferase (EC 3.1.2.6 )	0.12866793422953265
SSO:000012210__Chorismate mutase	0.12843064640440235
SSO:000018905__Leucine-rich repeat protein	0.12594495850835652
SSO:000004880__Methylglyoxal synthase (EC 4.2.3.3)	0.1108381105455052
SSO:000029128__YeeE/YedE family protein	0.1092632241819177
SSO:000004670__Malate dehydrogenase (EC 1.1.1.37)	0.1050354688265017
SSO:000018889__LemA family protein	0.10460524721548561
SSO:000010266__Acyl-CoA synthetase	0.10449420590244962
SSO:000010813__Leucyl aminopeptidase (EC 3.4.11.10)	0.103879189215332
SSO:000043034__inositol 2-dehydrogenase (EC 1.1.1.18)	0.10346103870270947
SSO:000020511__Nicotinamide mononucleotide transporter	0.10114256878651996
SSO:000013192__DnaD domain protein	0.10066581666619448
SSO:000009959__ADP-ribosylglycohydrolase	0.09324621257806132
