feature	importance
SSO:000005994__Phosphomevalonate kinase (EC 2.7.4.2)	0.516620434908972
SSO:000004710__Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)	0.3816575426215928
SSO:000000917__Alpha-amylase (EC 3.2.1.1)	0.31198189010194094
SSO:000003103__Gluconate permease	0.2922848090484999
SSO:000027090__beta-glucosidase (EC 3.2.1.21)	0.23795061960656627
SSO:000043018__acetolactate decarboxylase (EC 4.1.1.5)	0.21786583586864125
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.2057732917592809
SSO:000007212__SAM-dependent methyltransferase (EC 2.1.1.-)	0.20252435738944094
SSO:000004128__L-aspartate oxidase (EC 1.4.3.16)	0.19980978939682104
SSO:000001091__Aspartate 1-decarboxylase (EC 4.1.1.11)	0.18380287144798865
SSO:000002148__DNA-cytosine methyltransferase (EC 2.1.1.37)	0.17426769174003678
SSO:000035189__Conjugal transfer protein TraF	0.13859569149734538
SSO:000012146__Chemotaxis protein	0.13553709695313024
SSO:000018921__Pullulanase (EC 3.2.1.41)	0.13447463339220572
SSO:000013144__DinB family protein	0.13169786420554713
SSO:000021723__Phosphotransferase	0.13034868795776436
SSO:000009661__4-alpha-glucanotransferase	0.12849977167385077
SSO:000010090__ATPase	0.12672462560196895
SSO:000029148__YibE/F family protein	0.11788209968388175
SSO:000012290__CoA-binding protein	0.11737824528937917
