feature	importance
SSO:000026177__Trehalose-6-phosphate synthase	0.8938514212449549
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.5513180414367959
SSO:000019203__METHYL-ACCEPTING CHEMOTAXIS PROTEIN	0.3493448851224122
SSO:000003133__Glucosyl-3-phosphoglycerate synthase (EC 2.4.1.266)	0.3072298857404737
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.28416303817151833
SSO:000017067__Phage major capsid protein	0.18930924883912092
SSO:000017367__Glycosidase	0.18665715450387219
SSO:000022348__Prenyltransferase	0.1843695058024972
SSO:000026421__Tyrosine recombinase XerC	0.17000443876096324
SSO:000023974__RelA/SpoT domain-containing protein	0.16770690329695997
SSO:000012221__Chromosome partitioning protein	0.1637597339474874
SSO:000018768__L-lactate permease	0.1522710146026192
SSO:000017669__Helicase	0.1499025322717978
SSO:000002972__GDP-mannose 46-dehydratase (EC 4.2.1.47)	0.1493485429734119
SSO:000013242__DoxX family protein	0.14716774091302115
SSO:000001864__Cysteine synthase (EC 2.5.1.47)	0.1382206727040849
SSO:000043536__GDP-L-fucose synthase (EC 1.1.1.271)	0.135591057501321
SSO:000000991__Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-)	0.1276093639017396
SSO:000025597__Thioesterase family protein	0.1268265751219853
SSO:000019056__Low temperature requirement protein A	0.12235509813567431
