feature	importance
SSO:000010553__Amidohydrolase	0.6170660223852124
SSO:000000847__Alanine dehydrogenase (EC 1.4.1.1)	0.39343530033949575
SSO:000020957__Oxidoreductase	0.36526686406252573
SSO:000020331__NADH-dependent flavin oxidoreductase	0.33708315664123284
SSO:000017805__Histidine kinase	0.32608134017056994
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.30801096551172324
SSO:000029834__dihydrodipicolinate reductase	0.23956857921087116
SSO:000001185__Beta-glucuronidase (EC 3.2.1.31)	0.22591095180484497
SSO:000020835__OsmC family protein	0.22254230426777932
SSO:000010953__BCCT family transporter	0.19650882448895915
SSO:000016736__Fibronectin/fibrinogen-binding protein	0.1911786048953462
SSO:000003447__Histidinol-phosphatase (EC 3.1.3.15)	0.19083828262829544
SSO:000021467__Peroxiredoxin	0.18955667936605114
SSO:000003486__Homoserine kinase (EC 2.7.1.39)	0.18501792289709945
SSO:000006843__Pyruvate carboxylase subunit B (EC 6.4.1.1)	0.16960379871569656
SSO:000035652__Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)	0.14894036173765413
SSO:000022969__Protoporphyrinogen oxidase	0.1384959014038093
SSO:000043998__3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	0.13046753288279894
SSO:000012182__Chloride channel protein	0.13045024257874774
SSO:000018491__Integrase	0.12358532642596766
