feature	importance
SSO:000000450__6-phospho-beta-galactosidase (EC 3.2.1.85)	0.741058372781735
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.4687348727701891
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.41383444792622975
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.35379131399274516
SSO:000013628__FAD:protein FMN transferase (EC 2.7.1.180)	0.25090791565932435
SSO:000009334__tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	0.24466284023534057
SSO:000029073__Xylose isomerase	0.18526341727501838
SSO:000028963__Voltage-gated chloride channel family protein	0.16811436542669075
SSO:000024558__Serine protease	0.12648041314146835
SSO:000018641__Isochorismatase family protein	0.12590431724305173
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.12360131744812765
SSO:000006853__Pyruvate oxidase (EC 1.2.3.3)	0.11392296191925401
SSO:000012787__DNA methyltransferase	0.10724332216802498
SSO:000009464__13-beta-galactosyl-N-acetylhexosamine phosphorylase (EC 2.4.1.211)	0.10644809310763458
SSO:000002129__DNA-3-methyladenine glycosylase (EC 3.2.2.20)	0.10394880697975917
SSO:000008287__Transketolase (EC 2.2.1.1)	0.10020668356249236
SSO:000005120__N-acetyltransferase	0.09688319714097789
SSO:000029525__cation diffusion facilitator family transporter	0.09290067254147087
SSO:000018210__IS5 family transposase	0.09197543528651334
SSO:000016827__Flavocytochrome c	0.08680133771554345
