feature	importance
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.6974195505209914
SSO:000000272__3-carboxy-ciscis-muconate cycloisomerase (EC 5.5.1.2)	0.3776457403572421
SSO:000012746__DNA binding protein	0.349640318675889
SSO:000018283__IclR-family transcriptional regulator	0.24847117353025405
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.237410829282366
SSO:000002060__DNA (cytosine-5-)-methyltransferase (EC 2.1.1.37 )	0.22391763790676644
SSO:000039286__Sugar O-acetyltransferase	0.22295373001993496
SSO:000022972__Pseudouridine synthase	0.22270459087343575
SSO:000000298__3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	0.19493057946467593
SSO:000013628__FAD:protein FMN transferase (EC 2.7.1.180)	0.191607911028085
SSO:000010516__Endo-14-beta-xylanase (EC 3.2.1.8)	0.18520470799346875
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.18447414871662887
SSO:000017573__HIT family protein	0.16904629257622733
SSO:000008066__Thymidine phosphorylase (EC 2.4.2.4)	0.16293760817833927
SSO:000029307__aldolase	0.16279941581905646
SSO:000002811__Flagellar hook protein FlgE	0.15640394599505622
SSO:000025362__TM2 domain containing protein	0.14102705890377984
SSO:000002255__Deoxyribose-phosphate aldolase (EC 4.1.2.4)	0.1323620491515847
SSO:000003525__Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	0.13136793687558965
SSO:000017940__Hydrogenase maturation protease	0.13070638785190508
