feature	importance
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.7417291659121389
SSO:000020611__Non-ribosomal peptide synthetase	0.23761149226594236
SSO:000012150__Chemotaxis protein CheX	0.20411824495121503
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.19625223328292613
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.19418199598917152
SSO:000013422__Enoyl-CoA hydratase/isomerase family protein	0.16345413109995605
SSO:000029482__c-type cytochrome	0.1614596544870225
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.15864132955146884
SSO:000028897__VTC domain-containing protein	0.1556676550471261
SSO:000006213__Precorrin-6A synthase (deacetylating) (EC 2.1.1.152)	0.14590103265110735
SSO:000012628__Cytochrome c oxidase subunit I	0.12942483084282838
SSO:000001094__Aspartate ammonia-lyase (EC 4.3.1.1)	0.12728027271984138
SSO:000000568__ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	0.12602996894818483
SSO:000021529__Phage portal protein	0.1185482060211478
SSO:000000449__6-phospho-3-hexuloisomerase (EC 5.3.1.27)	0.11565332622008397
SSO:000034554__Aldehyde dehydrogenase (NAD(P)(+)) (EC 1.2.1.5)	0.11546359399538877
SSO:000007796__Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	0.11276050929248826
SSO:000021554__Phage tail protein	0.10557949721242835
SSO:000000450__6-phospho-beta-galactosidase (EC 3.2.1.85)	0.10272689252166574
SSO:000043162__1-(5-phosphoribosyl)-5-(5-phosphoribosylamino)methylideneaminoimidazole-4-carboxamide isomerase (EC 5.3.1.16)	0.10230019984954594
