feature	importance
SSO:000009524__2-aminoethylphosphonate ABC transporter substrate-binding protein	0.3467048987765434
SSO:000004108__L-2-hydroxyglutarate oxidase (EC 1.1.3.15)	0.3271298725610896
SSO:000005432__Nucleotidyltransferase (EC 2.7.7.-)	0.26694945435931067
SSO:000043973__adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26)	0.2534386205764284
SSO:000006147__Polyketide synthase	0.19209371927494664
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.17697047091346177
SSO:000035189__Conjugal transfer protein TraF	0.17200186151219185
SSO:000033225__sigma-54-dependent transcriptional regulator	0.15962007611721774
SSO:000025362__TM2 domain containing protein	0.15901426917639
SSO:000000363__4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39)	0.1556199267767681
SSO:000017510__HAD family hydrolase	0.14557212390247373
SSO:000028997__WGR domain-containing protein	0.14323514842164328
SSO:000013265__EAL domain containing protein	0.13994796256059838
SSO:000033493__thermostable hemolysin	0.12419264777096405
SSO:000033834__xylulokinase	0.11945426886057203
SSO:000000898__Allantoin permease	0.1055412843557259
SSO:000007803__Sulfate adenylyltransferase (EC 2.7.7.4)	0.10267201502291143
SSO:000001968__Cytosine permease	0.10108528059509628
SSO:000020220__N-acylneuraminate cytidylyltransferase (EC 2.7.7.43)	0.09075820297789357
SSO:000019607__Methylated-DNA-(protein)-cysteine S-methyltransferase	0.09032965715609138
