feature	importance
SSO:000036741__Malate dehydrogenase (quinone) (EC 1.1.5.4)	0.3145167693275298
SSO:000042813__amino-acid N-acetyltransferase (EC 2.3.1.1)	0.231643077716221
SSO:000018641__Isochorismatase family protein	0.22808159475716633
SSO:000002919__Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.21479932346166652
SSO:000012584__Cytochrome C biogenesis protein	0.2083981503059712
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.20584445660357728
SSO:000044216__diaminobutyrate acetyltransferase (EC 2.3.1.178)	0.17365242643750695
SSO:000024633__Siderophore-interacting protein	0.15319062291935678
SSO:000012973__DUF1850 domain-containing protein	0.13654150614489907
SSO:000011987__Catechol 12-dioxygenase (EC 1.13.11.1)	0.1296134693574781
SSO:000004128__L-aspartate oxidase (EC 1.4.3.16)	0.1256618628363672
SSO:000003248__Glycerol kinase (EC 2.7.1.30)	0.12447594068109234
SSO:000018283__IclR-family transcriptional regulator	0.12394755720660103
SSO:000010141__AbrB family transcriptional regulator	0.10322322296248307
SSO:000003445__Histidine utilization repressor	0.09518355823057856
SSO:000020656__Nucleoside diphosphate kinase regulator	0.09509699883148623
SSO:000029128__YeeE/YedE family protein	0.09498862445069535
SSO:000002791__Flagellar assembly protein FliH	0.09365932890155076
SSO:000012811__DNA polymerase III subunit delta'	0.0909656858306518
SSO:000029094__YHS domain protein	0.08942654439712627
