feature	importance
SSO:000008385__Triphosphoribosyl-dephospho-CoA synthase (EC 2.4.2.52)	1.1618116956525406
SSO:000000159__2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	0.7208233711785673
SSO:000018973__Lipopolysaccharide biosynthesis protein	0.4849150258771607
SSO:000035123__Class A beta-lactamase (EC 3.5.2.6)	0.35147822052691413
SSO:000004605__Lysophospholipase (EC 3.1.1.5)	0.2764042660494936
SSO:000003114__Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.18770417064255557
SSO:000008378__Trimethylamine-N-oxide reductase  TorA (EC 1.7.2.3)	0.17156340397880465
SSO:000018454__Inositol monophosphatase	0.17038014003975296
SSO:000004694__Malonyl-CoA decarboxylase (EC 4.1.1.9)	0.16099733456289653
SSO:000012147__Chemotaxis protein CheA (EC 2.7.3.-)	0.14856233756602888
SSO:000017510__HAD family hydrolase	0.14459414460831752
SSO:000020269__NA+/H+ ANTIPORTER NHAC	0.1444672102516601
SSO:000033163__sel1-like repeat protein	0.130971614402556
SSO:000001940__Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	0.11132131095884333
SSO:000010350__AhpC/TSA family protein	0.10436343087612912
SSO:000000817__Adenosylhomocysteinase (EC 3.3.1.1)	0.10126668673577766
SSO:000029232__Zn-finger protein	0.10112312955715892
SSO:000016871__Formate dehydrogenase( EC:1.2.1.2 )	0.09983507144468548
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.09728505183643235
SSO:000042174__acetylornithine transaminase	0.09177413780087082
