feature	importance
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.689604389760925
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.4943790103295973
SSO:000000917__Alpha-amylase (EC 3.2.1.1)	0.4939584806383544
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.3572146671016386
SSO:000004189__LOG family protein	0.23592132449438863
SSO:000039286__Sugar O-acetyltransferase	0.2008449765119518
SSO:000027090__beta-glucosidase (EC 3.2.1.21)	0.18686683348043429
SSO:000033834__xylulokinase	0.1295763598702846
SSO:000029307__aldolase	0.12932615038744436
SSO:000018973__Lipopolysaccharide biosynthesis protein	0.12093897452174181
SSO:000003145__Glutamate 5-kinase (EC 2.7.2.11)	0.10652297069023832
SSO:000034571__Aldose 1-epimerase family protein	0.10622468707527992
SSO:000008019__Thiazole synthase (EC 2.8.1.10)	0.0955853055978401
SSO:000039114__SapC family protein	0.09364227634698569
SSO:000002839__Flagellin	0.09292513072020007
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.09289034276521649
SSO:000007156__Ribulokinase (EC 2.7.1.16)	0.0741708969041345
SSO:000003304__Glycosyl transferase family 2 (EC 2.4.1.83)	0.0733461382587808
SSO:000003103__Gluconate permease	0.06867847115529196
SSO:000003484__Homoserine O-succinyltransferase (EC 2.3.1.46)	0.06848874296369345
