feature	importance
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.5622298389338655
SSO:000005432__Nucleotidyltransferase (EC 2.7.7.-)	0.5363680784612799
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.5067747139702251
SSO:000012589__Cytochrome P-450	0.35678596185270545
SSO:000020367__NERD domain-containing protein	0.3355492183479116
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.27013301459540867
SSO:000000817__Adenosylhomocysteinase (EC 3.3.1.1)	0.2670060919455198
SSO:000039072__S-(hydroxymethyl)mycothiol dehydrogenase (EC 1.1.1.306)	0.21885101998316356
SSO:000001777__Copper-translocating P-type ATPase (EC 3.6.3.4)	0.21119802909008994
SSO:000022925__Protein tyrosine phosphatase (EC 3.1.3.48)	0.2065892764109205
SSO:000025277__Sulfotransferase	0.18182113299576513
SSO:000012972__DUF1801 domain-containing protein	0.17829147003525525
SSO:000010295__Acyltransferase family protein	0.16252060303995902
SSO:000021899__Polysaccharide deacetylase family protein	0.15852043509623492
SSO:000007212__SAM-dependent methyltransferase (EC 2.1.1.-)	0.1408752421411249
SSO:000043018__acetolactate decarboxylase (EC 4.1.1.5)	0.1380605750009361
SSO:000030895__iron-sulfur cluster assembly accessory protein	0.12686242721974367
SSO:000000449__6-phospho-3-hexuloisomerase (EC 5.3.1.27)	0.10952438076975744
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.10555046807235705
SSO:000000917__Alpha-amylase (EC 3.2.1.1)	0.10421374378481733
