feature	importance
SSO:000012972__DUF1801 domain-containing protein	0.43896057321291515
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.43233975359795485
SSO:000020231__N-formylglutamate amidohydrolase	0.3146518455097132
SSO:000005809__Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	0.31200471233874605
SSO:000000925__Alpha-mannosidase (EC 3.2.1.24)	0.25926980461416366
SSO:000003007__Galactonate dehydratase (EC 4.2.1.6)	0.24302681372709856
SSO:000017367__Glycosidase	0.2185209722518882
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.21643449954270588
SSO:000016921__Fumarylacetoacetate hydrolase family protein	0.21632350862633998
SSO:000023930__Regulator	0.18391247258379909
SSO:000008887__Uroporphyrinogen-III synthase (EC 4.2.1.75)	0.16318636975098735
SSO:000036869__Methyltransferase	0.15261141417509438
SSO:000004449__Lipase (EC 3.1.1.3)	0.134292268270339
SSO:000021037__PAS domain-containing protein	0.13424356166651477
SSO:000012004__Cation:proton antiporter	0.12211786288827445
SSO:000030058__glycosyl transferase family 8 protein	0.12180404110779633
SSO:000029834__dihydrodipicolinate reductase	0.12119738338808739
SSO:000009661__4-alpha-glucanotransferase	0.11895329874956102
SSO:000042933__glycerophosphodiester phosphodiesterase (EC 3.1.4.46)	0.11054900986525634
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.10772326645787779
