feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	2.0914469270592226
SSO:000025220__Sucrose phosphorylase (EC 2.4.1.7)	0.5577537906683763
SSO:000029373__anion permease	0.27845314299473223
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.2557259510486698
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.15197756395513892
SSO:000000442__6-carboxytetrahydropterin synthase (EC 4.1.2.50)	0.1518646672664491
SSO:000010176__Acetyltransferase	0.1490831295018361
SSO:000012948__DNA/RNA helicase	0.14232131283198254
SSO:000000046__1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	0.14178620063892236
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.13004157498029156
SSO:000009095__dTDP-glucose 46-dehydratase (EC 4.2.1.46)	0.12678952406635904
SSO:000021770__Phytoene desaturase (EC 1.14.99.-)	0.12433208208688609
SSO:000019412__Membrane dipeptidase	0.1236775060975028
SSO:000016774__Fis family transcriptional regulator	0.09826190256672894
SSO:000029307__aldolase	0.09470627824077543
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.09231191028486424
SSO:000021510__Phage holin	0.08374103542316093
SSO:000009126__glutamine amidotransferase (EC 4.1.3.27 )	0.08051141136956962
SSO:000019509__Metal-dependent hydrolase	0.07986650714969883
SSO:000004381__Lactate oxidase (EC 1.13.12.-)	0.07799300652017542
