feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	1.1462413359605816
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.5562744392830793
SSO:000013628__FAD:protein FMN transferase (EC 2.7.1.180)	0.42968403876670336
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.29880938489618664
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.23194667235810318
SSO:000021409__Peptidoglycan-binding protein	0.23158004790438075
SSO:000031925__proteasome-type protease	0.1926729968694922
SSO:000010848__AsmA family protein	0.18966570118686743
SSO:000009710__5'(3')-deoxyribonucleotidase	0.18310473595091498
SSO:000026732__UbiD family decarboxylase	0.17203977596439327
SSO:000012951__DNA/RNA non-specific endonuclease	0.1641402434108183
SSO:000000568__ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	0.1567964380852072
SSO:000006811__Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	0.15335985705356597
SSO:000021899__Polysaccharide deacetylase family protein	0.137315971715428
SSO:000016592__FMN-dependent NADH-azoreductase (EC 1.7.1.6)	0.1353322086399852
SSO:000036062__Gluconate 2-dehydrogenase subunit 3 family protein	0.1349781709482848
SSO:000010350__AhpC/TSA family protein	0.13328047160703282
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.12590982665235864
SSO:000024959__Sodium:solute symporter family protein	0.11340872086685838
SSO:000034018__2-polyprenylphenol hydroxylase (EC 1.14.13.240)	0.10669129925965612
