feature	importance
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	1.7159896782441177
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	1.4074101680092939
SSO:000002315__Dihydropyrimidinase (EC 3.5.2.2)	0.19914648359556744
SSO:000043098__myo-inosose-2 dehydratase (EC 4.2.1.44)	0.1925545540938052
SSO:000043034__inositol 2-dehydrogenase (EC 1.1.1.18)	0.154925063240817
SSO:000027090__beta-glucosidase (EC 3.2.1.21)	0.14984815387710038
SSO:000025362__TM2 domain containing protein	0.13915099411317244
SSO:000002919__Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.13183603835636507
SSO:000022980__PspC domain-containing protein	0.12647227265746555
SSO:000007627__Spermidine synthase (EC 2.5.1.16)	0.11564377490672002
SSO:000019538__Metallophosphoesterase	0.10919024823198352
SSO:000002765__Ferrous iron transport protein A	0.10845573387799244
SSO:000030039__glycoside hydrolase family protein	0.10097033845752028
SSO:000002472__Endonuclease III (EC 4.2.99.18)	0.09635550495531826
SSO:000006208__Precorrin-3B C(17)-methyltransferase (EC 2.1.1.131)	0.09408920995475557
SSO:000013035__DedA family protein	0.09391249974801058
SSO:000031196__nucleotidyltransferase family protein	0.08994656748746131
SSO:000042404__cobyrinate ac-diamide synthase (EC 6.3.5.11)	0.08874429518032555
SSO:000007180__Rod shape-determining protein RodA	0.08840717135944733
SSO:000008678__Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	0.08445905227275705
