feature	importance
SSO:000009287__putrescine-ornithine antiporter	1.7494152746405855
SSO:000011942__Carbon-nitrogen hydrolase family protein	0.23228243653742717
SSO:000006147__Polyketide synthase	0.17740724483320744
SSO:000011920__CarD family transcriptional regulator	0.15714622029912836
SSO:000025362__TM2 domain containing protein	0.1282599733578223
SSO:000010642__Anaerobic C4-dicarboxylate transporter DcuC	0.12807513701769505
SSO:000007071__Ribonuclease D (EC 3.1.26.3)	0.12627221676926426
SSO:000010266__Acyl-CoA synthetase	0.11450638371164941
SSO:000001864__Cysteine synthase (EC 2.5.1.47)	0.10949649983802212
SSO:000005968__Phosphogluconate dehydratase (EC 4.2.1.12)	0.10682592480928474
SSO:000000272__3-carboxy-ciscis-muconate cycloisomerase (EC 5.5.1.2)	0.10627548269791537
SSO:000035277__Cytochrome c oxidase subunit 4 (EC 1.9.3.1)	0.10472167248131692
SSO:000000295__3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	0.10254305308333429
SSO:000010054__ATP-dependent helicase	0.09870037926935339
SSO:000020518__NifU family protein	0.09652231698731996
SSO:000018206__IS3 family transposase	0.09132945330456958
SSO:000043973__adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26)	0.08748566834772852
SSO:000030137__histone deacetylase	0.08726815545668822
SSO:000024558__Serine protease	0.08329636369044907
SSO:000018207__IS30 family transposase	0.08310267166726115
