feature	importance
SSO:000011987__Catechol 12-dioxygenase (EC 1.13.11.1)	0.5964946599804548
SSO:000012016__Cd(II)/Pb(II)-responsive transcriptional regulator	0.5262072298114369
SSO:000025121__Sterol desaturase family protein	0.45750868663486355
SSO:000029597__class II aldolase/adducin family protein	0.4552925043886871
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.32566958038211996
SSO:000016827__Flavocytochrome c	0.2806476490726803
SSO:000019394__Mechanosensitive ion channel	0.25302945593069603
SSO:000033054__radical SAM protein	0.19041988490531825
SSO:000020559__Nitrite transporter NirC	0.15710177047361223
SSO:000029953__formate/nitrite transporter family protein	0.14308993937232875
SSO:000001103__Aspartate/tyrosine/aromatic aminotransferase (EC 2.6.1.1 )	0.14083548029527201
SSO:000037083__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit B	0.14073566799285858
SSO:000017756__HesA/MoeB/ThiF family protein	0.11733131468666988
SSO:000037103__NADH:ubiquinone reductase (Na(+)-transporting) subunit B (EC 7.2.1.1)	0.10851249691777243
SSO:000005273__Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.-)	0.10287317806253794
SSO:000000272__3-carboxy-ciscis-muconate cycloisomerase (EC 5.5.1.2)	0.10249591609174237
SSO:000011997__Cation transporter	0.1021677149175972
SSO:000005919__Phosphate propanoyltransferase (EC 2.3.1.222)	0.10200261561975088
SSO:000044077__Magnesium transporter	0.09860757467279925
SSO:000009109__flavodoxin	0.09258515300225453
