feature	importance
SSO:000007776__Succinate dehydrogenase cytochrome b-556 subunit	0.42118718698641044
SSO:000006305__Prephenate dehydrogenase (EC 1.3.1.12)	0.3954098754704544
SSO:000000670__Acetate kinase (EC 2.7.2.1)	0.37668342069148447
SSO:000003209__Glutathione S-transferase (EC 2.5.1.18)	0.36479922494763
SSO:000031342__peptidase M42	0.32258788450076714
SSO:000044308__adenosylmethionine---8-amino-7-oxononanoate transaminase (EC 2.6.1.62)	0.2973081380586809
SSO:000003160__Glutamate--cysteine ligase (EC 6.3.2.2)	0.2943007480078069
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.292163134815713
SSO:000000298__3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	0.24137553853416752
SSO:000001478__Cell division protein ZapE	0.2065183645433451
SSO:000034061__3-hydroxybenzoate 6-monooxygenase (EC 1.14.13.24)	0.2038980109560627
SSO:000002447__Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1)	0.1795144263411733
SSO:000010266__Acyl-CoA synthetase	0.17310340528388282
SSO:000042404__cobyrinate ac-diamide synthase (EC 6.3.5.11)	0.15331758028965956
SSO:000017666__Heavy metal transport/detoxification protein	0.1419879304986772
SSO:000043378__Gamma-glutamyl cyclotransferase (EC 2.3.2.4)	0.1396792370550213
SSO:000021359__Peptidase T (EC 3.4.11.-)	0.13075710994586134
SSO:000031196__nucleotidyltransferase family protein	0.13061922482274896
SSO:000001067__Arsenate reductase (EC 1.20.4.1)	0.1284465903081066
SSO:000020771__Oligopeptide transporter OPT family	0.12636653821881408
