feature	importance
SSO:000018921__Pullulanase (EC 3.2.1.41)	1.4682247394254486
SSO:000003212__Glutathione S-transferase family protein	0.5053877150177457
SSO:000006048__Phosphoribulokinase (EC 2.7.1.19)	0.4878847692279922
SSO:000018657__Isoprenylcysteine carboxyl methyltransferase family protein	0.45446626213336466
SSO:000012375__Competence protein ComGF	0.26811719200338946
SSO:000003247__Glycerol dehydrogenase (EC 1.1.1.6)	0.24691315639008393
SSO:000001098__Aspartate--ammonia ligase (EC 6.3.1.1)	0.24336473811261347
SSO:000010724__Antirestriction protein ArdA	0.238179954198414
SSO:000009590__3'-5' exonuclease	0.2320372030907317
SSO:000006782__Putrescine carbamoyltransferase (EC 2.1.3.6)	0.23007125087524627
SSO:000042259__nucleoside-triphosphate diphosphatase (EC 3.6.1.19)	0.2250397144124441
SSO:000005972__Phosphoglycerate mutase (EC 5.4.2.1)	0.21065958457942782
SSO:000012884__DNA topology modulation protein	0.20289895964174876
SSO:000002988__GTP pyrophosphokinase (EC 2.7.6.5)	0.17472459997976145
SSO:000005188__NAD-dependent malic enzyme (EC 1.1.1.38)	0.16333017977650202
SSO:000024584__Serine/threonine protein kinase	0.14890410851829697
SSO:000002612__Excinuclease ABC subunit B	0.14879421087660918
SSO:000002129__DNA-3-methyladenine glycosylase (EC 3.2.2.20)	0.13326989590063507
SSO:000011933__Carbohydrate-binding domain containing protein	0.11800144571333933
SSO:000018210__IS5 family transposase	0.11707993193474321
