feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	1.8241506877498335
SSO:000025220__Sucrose phosphorylase (EC 2.4.1.7)	0.8025861207958099
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.27849329870631495
SSO:000016742__Fic family protein	0.19883796684043614
SSO:000001260__Branched-chain amino acid aminotransferase (EC 2.6.1.42)	0.19494264209227186
SSO:000005953__Phosphoenolpyruvate carboxykinase ATP (EC 4.1.1.49)	0.18934806849616875
SSO:000021269__Patatin family protein	0.18650522630058244
SSO:000021499__Phage capsid protein	0.1691708634843609
SSO:000013400__Endonuclease/exonuclease/phosphatase family protein	0.14472860028467038
SSO:000001940__Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	0.13904568315851773
SSO:000012746__DNA binding protein	0.1163756341194608
SSO:000011933__Carbohydrate-binding domain containing protein	0.10838202023156553
SSO:000012966__DUF1275 domain-containing protein	0.09088952846453587
SSO:000000913__Alpha-L-fucosidase (EC 3.2.1.51)	0.08892623436856902
SSO:000003007__Galactonate dehydratase (EC 4.2.1.6)	0.07553721909357757
SSO:000012533__Cyclase family protein	0.07450360293161502
SSO:000010953__BCCT family transporter	0.0722318893427168
SSO:000003484__Homoserine O-succinyltransferase (EC 2.3.1.46)	0.07078404392692529
SSO:000009095__dTDP-glucose 46-dehydratase (EC 4.2.1.46)	0.07029868874122282
SSO:000002280__Diaminopimelate decarboxylase (EC 4.1.1.20)	0.0637100061102421
