feature	importance
SSO:000009756__Membrane protein	0.4499724445814779
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.3761585202280304
SSO:000013154__Dipeptidase	0.265785755989981
SSO:000037230__Nitronate monooxygenase (EC 1.13.12.16)	0.25182919077555765
SSO:000017613__HTTM domain-containing protein	0.23586483371300754
SSO:000003525__Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	0.20830888613174672
SSO:000000913__Alpha-L-fucosidase (EC 3.2.1.51)	0.2011784585423578
SSO:000012746__DNA binding protein	0.20115278514173923
SSO:000004706__Mandelate racemase (EC 5.1.2.2)	0.1735694253433213
SSO:000000824__Adenylosuccinate synthetase (EC 6.3.4.4)	0.1716254555990267
SSO:000039286__Sugar O-acetyltransferase	0.17039686003616233
SSO:000012992__DUF350 domain-containing protein	0.16887247032732247
SSO:000042933__glycerophosphodiester phosphodiesterase (EC 3.1.4.46)	0.16275747234750462
SSO:000025241__Sugar kinase	0.16165290432293503
SSO:000021669__Phospholipase	0.15971899668056164
SSO:000007384__Selenocysteine-specific translation elongation factor	0.15963264957236026
SSO:000024959__Sodium:solute symporter family protein	0.15630170092857923
SSO:000029792__cytochrome c-1	0.1498866663525578
SSO:000006904__RNA polymerase sigma factor RpoH	0.1361244796433884
SSO:000002148__DNA-cytosine methyltransferase (EC 2.1.1.37)	0.136012321742116
