feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	2.0362102599992014
SSO:000001419__Carbonic anhydrase (EC 4.2.1.1)	0.38441938218495586
SSO:000018718__LD-transpeptidase	0.34742730238536007
SSO:000013154__Dipeptidase	0.34552491216930786
SSO:000025220__Sucrose phosphorylase (EC 2.4.1.7)	0.30255530367545114
SSO:000024110__Rhamnulokinase (EC 2.7.1.5)	0.29283628651620724
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.26817633935251933
SSO:000034571__Aldose 1-epimerase family protein	0.2627674321877335
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.2582477624666601
SSO:000029838__dihydrolipoyl dehydrogenase	0.2381399457243508
SSO:000033667__transposase family protein	0.21998382458117258
SSO:000003352__Heat-inducible transcription repressor HrcA	0.1815484790596479
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.17179987804123337
SSO:000010639__Anaerobic C4-dicarboxylate transporter	0.1623797202298137
SSO:000008961__Xanthine phosphoribosyltransferase (EC 2.4.2.22)	0.14832375336206507
SSO:000033137__rubrerythrin family protein	0.12417760414540198
SSO:000031325__penicillin-binding protein 2	0.109672081272519
SSO:000017578__HNH endonuclease	0.1022410585629626
SSO:000006902__RNA polymerase sigma factor RpoD	0.09868556002467813
SSO:000013194__DnaJ domain-containing protein	0.0977728936981489
