feature	importance
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.5137805253275468
SSO:000029307__aldolase	0.44335001085957504
SSO:000017550__HD-GYP domain containing protein	0.278860031345238
SSO:000000073__2345-tetrahydropyridine-26-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	0.26270516735585403
SSO:000029128__YeeE/YedE family protein	0.2379020289516895
SSO:000011529__CDP-alcohol phosphatidyltransferase family protein	0.22968955365884158
SSO:000025479__Tartrate dehydrogenase (EC 1.1.1.93)	0.22493771268066481
SSO:000020342__NADH:flavin oxidoreductase/NADH oxidase	0.21871244993129463
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.1882275875843726
SSO:000013372__Endoglucanase	0.18489529379039346
SSO:000003125__Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)	0.1754020106890314
SSO:000009087__dTDP-4-amino-46-dideoxygalactose transaminase (EC 2.6.1.59)	0.16889697714897822
SSO:000002315__Dihydropyrimidinase (EC 3.5.2.2)	0.16812440461952918
SSO:000037230__Nitronate monooxygenase (EC 1.13.12.16)	0.16570989114790866
SSO:000011545__CHAP domain containing protein	0.12610275674626234
SSO:000025241__Sugar kinase	0.11780109537377881
SSO:000006053__Phosphosulfolactate synthase (EC 4.4.1.19)	0.11632322314031597
SSO:000005522__Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	0.11089891338366849
SSO:000007156__Ribulokinase (EC 2.7.1.16)	0.10849677890002764
SSO:000000381__4-hydroxyproline epimerase (EC 5.1.1.8)	0.10691054625704147
