feature	importance
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	1.2730700199472105
SSO:000025597__Thioesterase family protein	1.0726278560628908
SSO:000012290__CoA-binding protein	0.7169375955343725
SSO:000006853__Pyruvate oxidase (EC 1.2.3.3)	0.3173975018452806
SSO:000012248__Citrate transporter	0.2944268571482644
SSO:000005916__Phosphate acetyltransferase (EC 2.3.1.8)	0.2854523625238517
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.2421862923674282
SSO:000007796__Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	0.19988372043088665
SSO:000010090__ATPase	0.17716723399425208
SSO:000035974__Fructose-6-phosphate aldolase	0.15675944481677784
SSO:000033847__zinc-binding dehydrogenase	0.1466278486040665
SSO:000025246__Sugar phosphate isomerase/epimerase	0.1435728786910579
SSO:000013242__DoxX family protein	0.1405594601980362
SSO:000012389__Conjugal transfer protein TraA	0.13206627862420006
SSO:000033834__xylulokinase	0.12940698050789076
SSO:000016611__FTR1 family protein	0.11642053229941705
SSO:000024925__Sodium-dependent transporter	0.10158573844280087
SSO:000021359__Peptidase T (EC 3.4.11.-)	0.0976323782613874
SSO:000009809__ABC transporter	0.09477052047977089
SSO:000002765__Ferrous iron transport protein A	0.09446448608006552
