feature	importance
SSO:000001856__Cysteine desulfurase (EC 2.8.1.7)	0.7878261302025074
SSO:000017291__Glutaminyl-peptide cyclotransferase (EC 2.3.2.5)	0.41403793360582025
SSO:000002972__GDP-mannose 46-dehydratase (EC 4.2.1.47)	0.3216527543492433
SSO:000010242__Acyl transferase	0.3164221006545176
SSO:000002148__DNA-cytosine methyltransferase (EC 2.1.1.37)	0.305731710301243
SSO:000005317__Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	0.28871755428314116
SSO:000018283__IclR-family transcriptional regulator	0.2839068742170252
SSO:000004449__Lipase (EC 3.1.1.3)	0.20729982050893536
SSO:000009621__3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	0.20277532615553756
SSO:000003322__Glyoxylate carboligase (EC 4.1.1.47)	0.19753822547087288
SSO:000010350__AhpC/TSA family protein	0.17137369508705294
SSO:000005188__NAD-dependent malic enzyme (EC 1.1.1.38)	0.1655600452505322
SSO:000018718__LD-transpeptidase	0.16033755593895466
SSO:000000151__2-dehydropantoate 2-reductase (EC 1.1.1.169)	0.14577660547756469
SSO:000031082__methylenetetrahydrofolate reductase	0.14136781538389806
SSO:000006574__Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96)	0.13567825891969623
SSO:000017443__Glyoxalase	0.13421593128740106
SSO:000033667__transposase family protein	0.12739136103787418
SSO:000001076__Arylamine N-acetyltransferase (EC 2.3.1.5)	0.12712452814917788
SSO:000035974__Fructose-6-phosphate aldolase	0.12642206668375636
