feature	importance
SSO:000005955__Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	0.4905843930018286
SSO:000008877__Uridine kinase (EC 2.7.1.48)	0.28165889053301413
SSO:000024558__Serine protease	0.25554272930850763
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.21020450545643113
SSO:000042727__UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12)	0.20799144468155428
SSO:000000917__Alpha-amylase (EC 3.2.1.1)	0.17285372804404228
SSO:000029508__carbohydrate-binding protein	0.1649911033795131
SSO:000017381__Glycosyl hydrolase	0.15759899449254405
SSO:000013094__Dienelactone hydrolase	0.13544080399698982
SSO:000031462__plasmid stabilization protein	0.12593769776075556
SSO:000020231__N-formylglutamate amidohydrolase	0.12053133686459162
SSO:000009090__dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	0.11967394547877563
SSO:000024584__Serine/threonine protein kinase	0.1191637738732701
SSO:000025068__Sporulation protein	0.10339379887396781
SSO:000039438__TetR family transcriptional regulator	0.10278112366336983
SSO:000006915__RNA polymerase sigma-70 factor (EC 2.7.7.6 )	0.09594466860095677
SSO:000021897__Polysaccharide deacetylase	0.0948200988642731
SSO:000044308__adenosylmethionine---8-amino-7-oxononanoate transaminase (EC 2.6.1.62)	0.09338210108924883
SSO:000020300__NAD(P)H-quinone oxidoreductase subunit 3 (EC 1.6.5.2)	0.09320816159689327
SSO:000024328__SET domain-containing protein	0.09043383881198418
