feature	importance
SSO:000008399__Tryptophanase (EC 4.1.99.1)	3.8673020987594717
SSO:000007212__SAM-dependent methyltransferase (EC 2.1.1.-)	0.20688204936010593
SSO:000042937__maltose alpha-D-glucosyltransferase (EC 5.4.99.16)	0.13526469751476344
SSO:000034554__Aldehyde dehydrogenase (NAD(P)(+)) (EC 1.2.1.5)	0.12951925390714167
SSO:000024083__Restriction endonuclease	0.12599203921524585
SSO:000006147__Polyketide synthase	0.09529261116198966
SSO:000001094__Aspartate ammonia-lyase (EC 4.3.1.1)	0.09104687088764045
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.08782997008195878
SSO:000029974__gamma-glutamyltransferase( EC:2.3.2.2 )	0.07831895026954003
SSO:000003696__Imidazolonepropionase (EC 3.5.2.7)	0.07813081790987765
SSO:000019936__MmgE/PrpD family protein	0.07226342464161126
SSO:000018202__IS21 family transposase	0.07198603906241965
SSO:000000886__Alkaline phosphatase (EC 3.1.3.1)	0.06914664382953022
SSO:000021359__Peptidase T (EC 3.4.11.-)	0.06733849048688183
SSO:000013194__DnaJ domain-containing protein	0.06537944934777379
SSO:000001768__Copper resistance protein CopC	0.060848048592116226
SSO:000009310__sortase	0.059840422392077694
SSO:000011926__Carbamoyltransferase	0.05960117226933551
SSO:000010255__Acyl-CoA dehydrogenase family protein	0.05925864520554242
SSO:000020771__Oligopeptide transporter OPT family	0.05638926615899339
