feature	importance
SSO:000008866__Urease accessory protein UreG	0.8466042117697495
SSO:000008865__Urease accessory protein UreF	0.7269384707785509
SSO:000008863__Urease accessory protein UreD	0.36620545845150043
SSO:000008864__Urease accessory protein UreE	0.36023140133806436
SSO:000001444__Catalase (EC 1.11.1.6)	0.12594658547359286
SSO:000035277__Cytochrome c oxidase subunit 4 (EC 1.9.3.1)	0.10899723281205023
SSO:000013395__Endonuclease NucS	0.10682636189233788
SSO:000031624__prepilin-type N-terminal cleavage/methylation domain-containing protein	0.10460105940593625
SSO:000016627__Fatty acid cis/trans isomerase	0.10248081956014385
SSO:000024243__Rubredoxin	0.10190579025309664
SSO:000002972__GDP-mannose 46-dehydratase (EC 4.2.1.47)	0.09440529459237688
SSO:000017273__Glutaminase A	0.09354402743468865
SSO:000013106__Diguanylate cyclase	0.08710822902858771
SSO:000009089__dTDP-4-dehydrorhamnose 35-epimerase (EC 5.1.3.13)	0.0812326579892465
SSO:000005483__Oleate hydratase (EC 4.2.1.53)	0.08113804092183272
SSO:000021734__Phosphotriesterase related protein	0.07428465186906148
SSO:000039114__SapC family protein	0.07185805432187126
SSO:000018768__L-lactate permease	0.07046989300546956
SSO:000002128__DNA translocase FtsK	0.06896528885812901
SSO:000006977__Regulatory protein RecX	0.06686404462767725
