feature	importance
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.11982454962928252
SSO:000000864__Aldehyde dehydrogenase (EC 1.2.1.3)	0.07668225186050821
SSO:000017037__Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)	0.049364520100272244
SSO:000010243__Acyl-ACP thioesterase	0.04478098662338088
SSO:000010553__Amidohydrolase	0.04144615170408087
SSO:000011933__Carbohydrate-binding domain containing protein	0.04040384864261364
SSO:000039286__Sugar O-acetyltransferase	0.02946275734558701
SSO:000013134__Dihydroorotate dehydrogenase	0.02831753939828973
SSO:000019395__Mechanosensitive ion channel family protein	0.028126983684286046
SSO:000025747__Transcription antiterminator	0.02478133215979231
SSO:000024157__Ribose 5-phosphate isomerase (EC 5.3.1.6)	0.02426880950466272
SSO:000003277__Glycine oxidase ThiO (EC 1.4.3.19)	0.023784031541097667
SSO:000003240__Glycerate kinase (EC 2.7.1.31)	0.02101670809289501
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.01972245388499662
SSO:000000406__5-(carboxyamino)imidazole ribonucleotide synthase (EC 6.3.4.18)	0.015155037265474588
SSO:000009416__transcriptional regulator NanR	0.014501725668148932
SSO:000000587__ATP-dependent DNA ligase (EC 6.5.1.1)	0.013234267368466796
SSO:000007177__Rod shape-determining protein MreB	0.012390744923245838
SSO:000010617__Aminotransferase	0.011825932925672758
SSO:000016903__Fructoselysine 6-kinase	0.010276950180617925
